subID,cue,coherence,threshold,congruent,noise1Frames,signal1Frames,noise2Frames,signal2Frames,RT,rawChoice,forcedChoice,accumulatorDifference,vizDifference
2,0.5,0.52,10,1,81,23,84,444,632,NaN,0,1.5004314690546,0.0869642256649665
2,0.5,0.52,10,1,89,23,99,421,355,1,1,0.507363788480036,4.87330877602881
2,0.5,0.52,10,1,78,33,85,436,535,1,1,13.9886459715051,1.44646544095479
2,0.5,0.52,10,1,99,54,76,403,439,1,1,4.39033690454975,2.88105666643702
2,0.5,0.52,10,1,106,42,105,379,632,NaN,1,0.0378405072273686,4.06951751053141
2,0.5,0.52,10,1,107,49,83,393,379,0,0,10.9608298598252,0.0610546767070197
2,0.5,0.52,10,1,96,53,107,376,531,0,0,12.3214362221449,1.09658558281425
2,0.5,0.52,10,1,87,29,98,418,632,NaN,0,5.08476892978604,2.72256439950918
2,0.5,0.52,10,1,81,36,75,440,321,1,1,5.11574487327859,2.46040322001714
2,0.5,0.52,10,1,270,51,96,215,591,0,0,6.78456970512311,8.40188429420679
2,0.5,0.52,10,1,98,24,80,430,235,0,0,1.57274805438167,4.23836468671788
2,0.5,0.52,10,1,100,37,75,420,345,0,0,10.2923472706066,0.0922984907427242
2,0.5,0.52,10,1,92,23,83,434,632,NaN,0,10.5337914608074,6.284712880931
2,0.5,0.52,10,1,79,40,94,419,632,NaN,1,4.12842808312867,0.320087133323155
2,0.5,0.52,10,1,85,26,77,444,489,1,1,15.0131401965163,2.23855641955937
2,0.5,0.52,10,1,75,44,95,418,279,0,0,4.36424083016364,2.99538903797677
2,0.5,0.52,10,1,77,25,102,428,313,1,1,6.12643997431904,1.96552490776572
2,0.5,0.52,10,1,88,31,103,410,331,0,0,5.65530178380037,2.20449816740054
2,0.5,0.52,10,1,84,33,75,440,543,1,1,18.5933800207952,3.49378052760334
2,0.5,0.52,10,1,75,39,79,439,235,0,0,7.43469714865802,1.63382068308084
2,0.5,0.52,10,1,84,52,93,403,561,1,1,6.19177328278925,1.94035002906023
2,0.5,0.52,10,1,103,27,78,424,267,1,1,7.2929901183865,1.41939367474366
2,0.5,0.52,10,1,76,30,85,441,261,0,0,14.86832996015,1.677146698957
2,0.5,0.52,10,1,79,32,82,439,491,1,1,2.82613760593565,3.58698911772721
2,0.5,0.52,10,1,82,25,81,444,335,1,1,11.5381143675614,0.239813530889496
2,0.5,0.52,10,0,102,32,75,423,632,NaN,1,19.2762810946615,6.13848746959415
2,0.5,0.52,10,0,80,26,90,436,417,0,0,15.6560808105098,2.76333725999846
2,0.5,0.52,10,0,75,30,91,436,253,0,0,0.563971030941061,5.41781252339561
2,0.5,0.52,10,0,80,27,79,446,425,1,1,1.31377946048093,5.76152227715324
2,0.5,0.52,10,0,104,23,104,401,269,0,0,9.19635332018216,0.523935781796853
2,0.5,0.52,10,0,85,28,97,422,419,1,1,7.8628195057427,1.11531732429661
2,0.5,0.52,10,0,94,41,75,422,115,1,1,3.68744736085619,3.61373453186077
2,0.5,0.52,10,0,78,55,75,424,249,1,1,3.41885707368171,3.66223985698369
2,0.5,0.52,10,0,83,45,75,429,233,0,0,3.03038688003076,3.90830585733574
2,0.5,0.52,10,0,77,34,101,420,632,NaN,1,7.06616763724345,1.61041416053985
2,0.5,0.52,10,0,75,38,78,441,589,1,1,2.52421350036618,4.0795340842873
2,0.5,0.52,10,0,86,46,81,419,632,NaN,0,1.58034883654454,3.49371166880653
2,0.5,0.52,10,0,75,31,270,256,265,0,0,1.21065683417614,5.67554785038087
2,0.5,0.52,10,0,75,218,106,233,149,1,1,8.16856420396934,1.02070950747233
2,0.5,0.52,10,0,75,48,88,421,465,0,0,13.3845284119932,1.52388473891499
2,0.5,0.52,10,0,93,23,77,439,367,1,1,5.58971306913381,2.39281638650058
2,0.5,0.52,10,0,105,43,100,384,297,0,0,9.90709409226752,0.457945272411104
2,0.5,0.52,10,0,82,23,87,440,419,1,1,6.46263766426599,1.93690281455316
2,0.5,0.52,10,0,91,28,75,438,489,1,1,10.0859948639487,0.0783400789423556
2,0.5,0.52,10,0,83,50,82,417,361,1,1,1.38697664990509,4.55398195276478
2,0.5,0.52,10,0,97,47,86,402,399,1,1,10.6249783795466,0.071703186050426
2,0.5,0.52,10,0,75,23,84,450,585,1,1,15.1541031171747,2.33264075271387
2,0.5,0.52,10,0,90,29,89,424,632,NaN,0,1.90485054079184,1.40482107522909
2,0.5,0.52,10,0,101,35,80,416,375,1,1,15.8537433562776,2.53214087316826
2,0.5,0.52,10,0,95,23,92,422,343,1,1,0.0920167972282382,5.32348661068268
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5,0.52,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
