subID,model,loss,condition,m_noise1_fitted,m_noise1_min,m_noise1_max,m50_noise1_fitted,m50_noise1_min,m50_noise1_max,m_signal1_fitted,m_signal1_min,m_signal1_max,m50_signal1_fitted,m50_signal1_min,m50_signal1_max,v_signal1_fitted,v_signal1_min,v_signal1_max,v50_signal1_fitted,v50_signal1_min,v50_signal1_max,m_noise2_fitted,m_noise2_min,m_noise2_max,m50_noise2_fitted,m50_noise2_min,m50_noise2_max,m_signal2_fitted,m_signal2_min,m_signal2_max,m50_signal2_fitted,m50_signal2_min,m50_signal2_max,v_signal2_fitted,v_signal2_min,v_signal2_max,v50_signal2_fitted,v50_signal2_min,v50_signal2_max,B_fitted,B_min,B_max,nondectime_fitted,nondectime_min,nondectime_max
43,12drift_contCue,440.75580727068774,condition_80cue,0.0,0.0,10.0,0.0,0.0,10.0,3.3480180398562998,0.0,10.0,2.0701049252282027,0.0,10.0,0.158184387386403,0.0,10.0,2.7188721932881634,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.71458162064718,0.0,10.0,2.4352424441926295,0.0,10.0,0.0,0.0,10.0,7.169515485806641,0.0,10.0,3.873946562352387,0.5,25.0,0.01813495901061013,0.01,1.5
44,12drift_contCue,416.4488411849886,condition_80cue,1.023487541270072,0.0,10.0,0.0,0.0,10.0,2.3597381182948522,0.0,10.0,0.011582896089375854,0.0,10.0,0.0,0.0,10.0,4.235263843118177,0.0,10.0,0.6280053201636135,0.0,10.0,0.8429295646949153,0.0,10.0,8.37911667212233,0.0,10.0,0.8364665746453375,0.0,10.0,0.0,0.0,10.0,9.402101359062954,0.0,10.0,3.5829326532787746,0.5,25.0,0.012820590979612412,0.01,1.5
45,12drift_contCue,848.9581850151347,condition_80cue,2.7896727812776625,0.0,10.0,0.0,0.0,10.0,0.3242124177697985,0.0,10.0,2.7747368163753454,0.0,10.0,1.5235731235784888,0.0,10.0,4.860586187282696,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.729825119816754,0.0,10.0,0.0,0.0,10.0,1.3057971617895723,0.0,10.0,6.756779813224311,0.0,10.0,5.283970045494959,0.5,25.0,0.016272731461275947,0.01,1.5
46,12drift_contCue,675.8498284325357,condition_80cue,0.19606380834241344,0.0,10.0,0.0,0.0,10.0,0.2317681817043983,0.0,10.0,0.46776745433565486,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.12056100073152039,0.0,10.0,1.5690164143421215,0.0,10.0,1.5639507382460718,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.09480963977912718,0.0,10.0,1.0213815371560884,0.5,25.0,0.6588381703891527,0.01,1.5
47,12drift_contCue,259.62921821978347,condition_80cue,0.5623374135669517,0.0,10.0,0.6195057109502502,0.0,10.0,4.363274479132784,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.0443362437433805,0.0,10.0,0.5971055254743819,0.0,10.0,3.5509721091123074,0.0,10.0,8.705847076489833,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,9.221209353920027,0.0,10.0,4.989930603827746,0.5,25.0,0.013615270798788437,0.01,1.5
48,12drift_contCue,573.999759740729,condition_80cue,0.3305862827502138,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.8295388292135495,0.0,10.0,0.0,0.0,10.0,0.6445356121608905,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.775153755388821,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.501851988032936,0.0,10.0,3.1875661926328647,0.5,25.0,0.010573815953350385,0.01,1.5
49,12drift_contCue,394.2519659190532,condition_80cue,0.7012689163416413,0.0,10.0,1.616853761270269,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.39527113172455686,0.0,10.0,3.032366847641812,0.0,10.0,10.0,0.0,10.0,0.6030787481416148,0.0,10.0,10.0,0.0,10.0,7.696339679857568,0.0,10.0,0.6856409414094724,0.5,25.0,1.1587095765319118,0.01,1.5
50,12drift_contCue,245.11064439203983,condition_80cue,0.2777707434628632,0.0,10.0,0.0,0.0,10.0,1.8629696642770608,0.0,10.0,0.9265758232846139,0.0,10.0,0.0,0.0,10.0,0.6333161881817511,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.830486356314453,0.0,10.0,0.2036036257209354,0.0,10.0,0.6316334516139654,0.0,10.0,0.0,0.0,10.0,1.2640423251336177,0.5,25.0,0.16592835405937112,0.01,1.5
51,12drift_contCue,540.3489146126869,condition_80cue,0.0,0.0,10.0,0.047254368112137235,0.0,10.0,0.0,0.0,10.0,0.5069556727363156,0.0,10.0,0.09775617027948254,0.0,10.0,0.0,0.0,10.0,0.24291150074970708,0.0,10.0,0.1745196101716363,0.0,10.0,0.160200804286253,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.8608312646373371,0.5,25.0,0.25889820503167005,0.01,1.5
52,12drift_contCue,524.9023238748373,condition_80cue,0.8789957995117754,0.0,10.0,0.8258506306274661,0.0,10.0,3.456488565690269,0.0,10.0,0.0,0.0,10.0,1.5249099189668052,0.0,10.0,5.70991034469078,0.0,10.0,0.4381698106150814,0.0,10.0,0.0,0.0,10.0,2.101895763368057,0.0,10.0,0.0,0.0,10.0,4.918534577628002,0.0,10.0,8.238862787081215,0.0,10.0,5.778309507746628,0.5,25.0,0.01738265309304976,0.01,1.5
53,12drift_contCue,719.8021232539984,condition_80cue,0.34256504734015236,0.0,10.0,0.27440803936887675,0.0,10.0,0.15478087569950888,0.0,10.0,0.04326788382044043,0.0,10.0,0.5458604356493592,0.0,10.0,1.2589627586936638,0.0,10.0,1.0253025336828614,0.0,10.0,1.5823242869386305,0.0,10.0,10.0,0.0,10.0,3.665482890227357,0.0,10.0,0.19575763882568756,0.0,10.0,10.0,0.0,10.0,1.3816711126809746,0.5,25.0,1.3956491553814585,0.01,1.5
54,12drift_contCue,185.733682097868,condition_80cue,1.005960060955699,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.690721777747836,0.0,10.0,4.276760298892484,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.5005439152631626,0.0,10.0,7.545049652610416,0.0,10.0,5.692469541221279,0.0,10.0,4.12948278896776,0.5,25.0,0.011587835267492963,0.01,1.5
55,12drift_contCue,740.4680485657889,condition_65cue,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.1342854170748844,0.0,10.0,0.0,0.0,10.0,0.010586960647992456,0.0,10.0,0.0,0.0,10.0,0.33068475199303937,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.26025334272217393,0.0,10.0,1.0620193368697208,0.5,25.0,0.9977618285322651,0.01,1.5
56,12drift_contCue,675.1241612179804,condition_65cue,0.0,0.0,10.0,0.24753502638109218,0.0,10.0,0.4886542952284409,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.033918897400054125,0.0,10.0,0.0,0.0,10.0,0.5221613636094472,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.27819919978901514,0.0,10.0,0.3923302863676601,0.0,10.0,1.0106757282218268,0.5,25.0,0.19935859619830032,0.01,1.5
57,12drift_contCue,696.9523017354206,condition_65cue,0.33785827100126636,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.7177490264266709,0.0,10.0,0.0,0.0,10.0,1.5520473541499182,0.0,10.0,0.0,0.0,10.0,1.2269298510178197,0.0,10.0,0.0,0.0,10.0,1.196759409973609,0.5,25.0,0.15605814029499177,0.01,1.5
