"subID","block","trial","targetName","targetIdx","response","accuracy","RT","respFrame","totalEv_signal1","targetEv_signal1","totalEv_signal2","targetEv_signal2","confidence","confRT","flickerDuration","coherence","noise1frames_design","signal1Onset_design","signal1frames_design","noise2Onset_design","noise2frames_design","signal2Onset_design","signal2frames_design","noise1frames_obs","signal1frames_obs","noise2frames_obs","signal2frames_obs","postFlickerResp","accuracyFactor","zlogRT"
"36",1,2,"S4-20.jpg","2",1,0,0.807451417000266,58,0,0,NA,NA,NA,NA,0.80960241700086,0.670175219156544,65,66,34,101,75,177,63,58,NA,NA,NA,0,"0",-2.72312143643162
"36",1,3,"S3-12.jpg","1",2,0,1.53667650000716,108,17,14,NA,NA,NA,NA,1.53902012500475,0.700951405885172,47,48,35,84,55,140,100,47,35,25,NA,0,"0",0.375556324259687
"36",1,4,"S3-12.jpg","1",1,1,1.70496470799844,116,18,14,NA,NA,NA,NA,1.70753012500063,0.700951405885172,53,54,36,91,61,153,87,53,36,26,NA,0,"1",0.875983658161004
"36",1,5,"S4-20.jpg","2",2,1,1.06554324999888,70,0,0,NA,NA,NA,NA,1.06920837499638,0.670175219156544,86,87,37,125,48,174,66,70,NA,NA,NA,0,"1",-1.38753794214361
"36",1,6,"S4-20.jpg","2",2,1,1.2739158330005,84,8,4,NA,NA,NA,NA,1.27619329200388,0.670175219156544,68,69,42,112,90,203,37,68,16,NA,NA,0,"1",-0.527457227766573
"36",1,7,"S4-20.jpg","2",1,0,1.22269404200051,80,7,7,NA,NA,NA,NA,1.22475391699845,0.670175219156544,67,68,36,105,56,162,78,67,13,NA,NA,0,"0",-0.725075314373935
"36",1,8,"S4-20.jpg","2",2,1,1.35753583400219,89,0,0,NA,NA,NA,NA,1.35960012499709,0.670175219156544,89,90,30,121,52,174,66,89,NA,NA,NA,0,"1",-0.22131539071047
"36",1,9,"S4-20.jpg","2",2,1,1.69982645800337,114,20,14,NA,NA,NA,NA,1.70233858300344,0.670175219156544,72,73,41,115,58,174,66,72,42,NA,NA,0,"1",0.861449604871244
"36",1,10,"S3-12.jpg","1",2,0,1.26704529199924,83,7,5,NA,NA,NA,NA,1.26906491700356,0.700951405885172,69,70,31,102,72,175,65,69,14,NA,NA,0,"0",-0.553498106845574
"36",1,11,"S3-12.jpg","1",1,1,1.14500741699885,83,2,1,NA,NA,2,1.25775445900217,1.14705983400199,0.700951405885172,78,79,43,123,82,206,34,78,5,NA,NA,0,"1",-1.04118434365414
"36",1,12,"S4-20.jpg","2",2,1,1.46044883300056,104,22,14,NA,NA,4,0.779850500002794,1.46285595800146,0.670175219156544,59,60,44,105,77,183,57,59,45,NA,NA,0,"1",0.13055802981317
"36",1,13,"S3-12.jpg","1",1,1,1.17711595899891,85,16,13,NA,NA,4,1.04454699999769,1.17948016699665,0.700951405885172,52,53,40,94,73,168,72,52,33,NA,NA,0,"1",-0.908008749599713
