cue,coherence,congruent,threshold,memoryThinning,noise1Frames,signal1Onsets,signal1Frames,noise2Onsets,noise2Frames,signal2Onsets,signal2Frames,signal1_vizEv,signal2_vizEv,rawChoice,forcedChoice,RT,startPoint1,startPoint2,subID,nTrial,nFrames,trialTarget
0.5,0.5395,1,5,12,84,85,49,134,87,221,412,14.5439293374698,-0.149838495417614,1,1,99,-0.0156897671180102,4.4212077888764,100,50,632,1
0.5,0.5395,1,5,12,75,76,23,99,106,205,428,2.23529173856181,17.4324921488041,1,1,253,0.86537453210546,0.453775356194693,100,50,632,1
0.5,0.5395,1,5,12,101,102,32,134,82,216,417,2.41816103870705,23.51612698941,1,1,97,5.29761113921374,7.67990283434777,100,50,632,1
0.5,0.5395,1,5,12,75,76,27,103,94,197,436,1.67155532236949,23.0037270839193,0,0,193,-1.65254613703269,-5.40536637131353,100,50,632,1
0.5,0.5395,1,5,12,103,104,30,134,270,404,229,2.43426065496285,2.86295150594829,1,1,313,1.17404836690812,6.53084372574607,100,50,632,1
0.5,0.5395,1,5,12,85,86,23,109,85,194,439,-2.16704994387546,26.6959241269505,0,0,181,-1.24254545392626,-5.94328989502041,100,50,632,1
0.5,0.5395,1,5,12,96,97,47,144,78,222,411,2.43792622944386,29.0476543003966,1,1,99,4.42377004227397,3.64447759395718,100,50,632,1
0.5,0.5395,1,5,12,89,90,30,120,75,195,438,0.300205700741384,33.2841033966182,0,0,109,-2.74701682321202,-3.47195960153147,100,50,632,1
0.5,0.5395,1,5,12,92,93,54,147,102,249,384,1.45051878772858,6.80137002270978,1,1,123,0.306317348408169,1.3884444389971,100,50,632,1
0.5,0.5395,1,5,12,75,76,23,99,80,179,454,1.81696495717588,17.3166069697339,1,1,299,-2.02775757033659,-0.0467135443596498,100,50,632,1
0.5,0.5395,0,5,12,75,76,42,118,83,201,432,-8.61833507334103,-3.37580520556978,1,1,213,3.5946253580871,-2.07196686886705,100,50,632,2
0.5,0.5395,0,5,12,100,101,43,144,97,241,392,0.675140135631185,-6.2467357926597,1,1,107,-3.49329071955596,-2.85515983350722,100,50,632,2
0.5,0.5395,0,5,12,77,78,31,109,88,197,436,-6.14152067097005,-23.8639238231343,1,1,293,1.69278423620571,-1.79066042361487,100,50,632,2
0.5,0.5395,0,5,12,81,82,29,111,107,218,415,-4.21560787919362,-46.0079893804993,1,1,281,0.434234879224989,1.11091753077549,100,50,632,2
0.5,0.5395,0,5,12,97,98,28,126,77,203,430,-6.69204477417203,-24.482200629948,1,1,427,2.16110513612649,-2.94877957858303,100,50,632,2
0.5,0.5395,0,5,12,95,96,33,129,96,225,408,3.36959926052258,10.6767302127451,1,1,99,-2.96256780450006,-3.25853380414997,100,50,632,2
0.5,0.5395,0,5,12,85,86,34,120,103,223,410,6.4405565960013,-32.0979149477728,0,0,247,1.01182287886576,1.07680222382373,100,50,632,2
0.5,0.5395,0,5,12,86,87,50,137,90,227,406,2.93845348023173,-47.2942591585588,1,1,99,-2.75058321382538,-3.0305954302987,100,50,632,2
0.5,0.5395,0,5,12,82,83,23,106,104,210,423,-3.0931840706852,-9.86752362923398,1,1,267,1.07273371538224,-1.07376132952221,100,50,632,2
0.5,0.5395,0,5,12,94,95,40,135,76,211,422,-6.43205356502834,-3.14589347991094,1,1,131,-1.62235496055212,-3.59746453545315,100,50,632,2
0.5,0.5395,0,5,12,79,80,33,113,75,188,445,9.87153841216799,-40.8069308845296,0,0,93,2.2077464056953,8.20295296827103,100,50,632,2
0.5,0.5395,0,5,12,80,81,23,104,80,184,449,9.10667377848308,-25.3476407508756,0,0,89,2.88197006457084,5.3664610526086,100,50,632,2
0.5,0.5395,0,5,12,98,99,32,131,75,206,427,-6.32857242843232,1.01632214130192,1,1,105,-0.927866043323159,-5.15543246890725,100,50,632,2
0.5,0.5395,0,5,12,78,79,46,125,100,225,408,9.71333550740458,-24.4363614655635,0,0,123,-1.78785984335572,8.58508283857448,100,50,632,2
0.5,0.5395,0,5,12,78,79,52,131,105,236,397,6.35564769266394,-13.8617971041565,0,0,133,1.52090007997378,4.34628408428084,100,50,632,2
0.5,0.5395,0,5,12,105,106,25,131,77,208,425,4.21615447483238,-41.8457762545258,0,0,221,1.11966178614374,3.04195555652802,100,50,632,2
0.5,0.5395,0,5,12,80,81,31,112,79,191,442,-0.654567272382675,-24.9127103114788,1,1,223,1.5653446214745,-3.28539253914285,100,50,632,2
0.5,0.5395,0,5,12,91,92,36,128,91,219,414,-4.15259549614791,2.20913932788801,1,1,265,2.64879962021934,-2.47172061509879,100,50,632,2
0.5,0.5395,0,5,12,75,76,218,294,89,383,250,-6.87745939288362,8.5736225428784,1,1,143,-2.93138929498097,4.09209613984004,100,50,632,2
0.5,0.5395,0,5,12,99,100,23,123,86,209,424,-4.27883057745253,-41.1433860835035,1,1,263,1.3508175986652,0.831150668504081,100,50,632,2
0.5,0.5395,0,5,12,84,85,41,126,92,218,415,-3.14289307040344,-29.6522197518307,0,0,307,-0.539721997079795,-0.0788593079057275,100,50,632,2
0.5,0.5395,0,5,12,75,76,25,101,75,176,457,-6.76113040420289,-16.7989955694861,1,1,89,-2.25807418427228,-5.08488473198603,100,50,632,2
0.5,0.5395,0,5,12,270,271,26,297,81,378,255,0,7.55832749928088,1,1,169,0.785991987673386,-8.05249760938701,100,50,632,2
0.5,0.5395,0,5,12,87,88,51,139,85,224,409,-0.869411468748625,-4.54064142676355,1,1,277,-1.39849871564944,-1.55676927886619,100,50,632,2
0.5,0.5395,0,5,12,93,94,38,132,78,210,423,-6.51336523844903,-1.00885380661396,1,1,111,-1.28640043430956,-9.76368532006535,100,50,632,2
0.5,0.5395,1,5,12,79,80,49,129,84,213,420,-8.20395987663398,23.5595263698283,1,1,409,1.99985700003548,0.0873749843294765,11,50,632,1
