subID,block,trial,image,imageIdx,cue,congruent,response,accuracy,RT,cueDuration,learningRound
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 2, 1, 1.2075, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 1, 1, 1.9163, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.7209, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5404, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3613, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4063, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.8265, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7949, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.4089, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.2457, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.8231, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4765, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.2859, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.4074, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.6563, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.4868, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6595, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4722, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.3874, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5470, 1.5000, 2
