subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_cue_fitted,B_cue_min,B_cue_max,B_neut_fitted,B_neut_min,B_neut_max
43,4drift_congIncong_2bound,617.8976824947271,condition_80cue,374,13,0.31060399474248335,0.0,10.0,1.4948823323998262,0.0,10.0,3.2281562388890332,0.0,10.0,3.919704820475788,0.0,10.0,4.140235714838967,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.5162656625213575,0.0,10.0,4.354612273725069,0.0,10.0,6.181615684106421,0.0,10.0,4.497199930899474,0.5,12.0,6.168519949079878,0.5,12.0
44,4drift_congIncong_2bound,378.0735677137775,condition_80cue,376,13,0.0,0.0,10.0,0.09439086666047566,0.0,10.0,0.8856180496740131,0.0,10.0,0.0,0.0,10.0,6.015971685589698,0.0,10.0,0.4980628423542059,0.0,10.0,0.0,0.0,10.0,1.0809944230203021,0.0,10.0,5.344177847998278,0.0,10.0,0.0,0.0,10.0,9.339638019500832,0.0,10.0,2.1334498708149114,0.5,12.0,6.125873187078406,0.5,12.0
45,4drift_congIncong_2bound,847.6724465667622,condition_80cue,367,13,0.03548420484574256,0.0,10.0,0.0,0.0,10.0,0.7007913042206828,0.0,10.0,0.0,0.0,10.0,6.592444669699539,0.0,10.0,0.0,0.0,10.0,0.6137620298697669,0.0,10.0,0.0,0.0,10.0,4.290139260777965,0.0,10.0,4.3169150237956675,0.0,10.0,4.125101629348816,0.0,10.0,3.227870731299354,0.5,12.0,6.368300333992002,0.5,12.0
46,4drift_congIncong_2bound,793.9970307948976,condition_80cue,375,13,0.0,0.0,10.0,6.936301424861312,0.0,10.0,0.2269291097413254,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.6119674632327332,0.0,10.0,0.6386030029121408,0.0,10.0,0.0,0.0,10.0,7.087232471825287,0.0,10.0,1.398691689551658,0.5,12.0,8.351725574404394,0.5,12.0
47,4drift_congIncong_2bound,472.00003373392695,condition_80cue,375,13,1.159816249947723,0.0,10.0,0.12454765655705567,0.0,10.0,3.7767058175666506,0.0,10.0,0.0,0.0,10.0,2.6286299448276518,0.0,10.0,0.697354196208984,0.0,10.0,0.0,0.0,10.0,1.513383160072295,0.0,10.0,7.526332306819319,0.0,10.0,8.316815835927423,0.0,10.0,5.824020076700315,0.0,10.0,6.066874096425589,0.5,12.0,4.161149966536509,0.5,12.0
48,4drift_congIncong_2bound,570.5068263980482,condition_80cue,374,13,0.0,0.0,10.0,0.0,0.0,10.0,0.01822382034634696,0.0,10.0,0.0,0.0,10.0,6.480612708597804,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.9279705216112877,0.0,10.0,0.0,0.0,10.0,4.932740118271762,0.0,10.0,2.5729858153488587,0.5,12.0,6.9878763440417435,0.5,12.0
49,4drift_congIncong_2bound,856.874567032919,condition_80cue,375,13,0.13790709309005905,0.0,10.0,2.7079004187248112,0.0,10.0,4.932427650678757,0.0,10.0,5.1042330811333825,0.0,10.0,5.640901631166729,0.0,10.0,0.0,0.0,10.0,4.999567420725744,0.0,10.0,0.0,0.0,10.0,8.003173769513177,0.0,10.0,7.893022828292393,0.0,10.0,9.46038565840539,0.0,10.0,4.606508240234063,0.5,12.0,7.50556150999652,0.5,12.0
50,4drift_congIncong_2bound,26.48336335642452,condition_80cue,376,13,1.1899237601351895,0.0,10.0,0.0,0.0,10.0,0.9649486332305021,0.0,10.0,0.0,0.0,10.0,1.2696182127487465,0.0,10.0,0.0,0.0,10.0,1.1372954336973509,0.0,10.0,0.0,0.0,10.0,6.241092424122367,0.0,10.0,5.851710697949214,0.0,10.0,5.557764962666545,0.0,10.0,2.8942554328853727,0.5,12.0,2.7836190717771307,0.5,12.0
51,4drift_congIncong_2bound,543.8244495473027,condition_80cue,376,13,0.0,0.0,10.0,0.0,0.0,10.0,0.15470417870382447,0.0,10.0,0.22283841453855188,0.0,10.0,0.19635965444595763,0.0,10.0,0.021451009992516798,0.0,10.0,0.0,0.0,10.0,0.08620293207648827,0.0,10.0,0.11826152497499803,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0191653620974686,0.5,12.0,1.108480769121801,0.5,12.0
52,4drift_congIncong_2bound,705.6028814524616,condition_80cue,370,13,0.6392130536395949,0.0,10.0,4.749491476102462,0.0,10.0,4.119687347819285,0.0,10.0,3.8387730796419635,0.0,10.0,4.385416159726834,0.0,10.0,0.3420946435914363,0.0,10.0,1.1687900181731123,0.0,10.0,0.13589070486901939,0.0,10.0,4.875094238921143,0.0,10.0,3.937592948637033,0.0,10.0,5.536493229604635,0.0,10.0,6.0681410045627535,0.5,12.0,10.113680444288072,0.5,12.0
53,4drift_congIncong_2bound,895.5154696888377,condition_80cue,374,13,3.072342205377014,0.0,10.0,0.8044515222493114,0.0,10.0,2.3769390808079436,0.0,10.0,0.4721060555942307,0.0,10.0,6.67133450101956,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.2778662665002476,0.0,10.0,4.395124187207333,0.0,10.0,5.300117700669334,0.0,10.0,4.884587386727666,0.0,10.0,7.267854287642514,0.5,12.0,8.570305517256559,0.5,12.0
