subID,model,loss,condition,sample_size,n_params,drift_cued_fitted,drift_cued_min,drift_cued_max,drift_neut_fitted,drift_neut_min,drift_neut_max,B_fitted,B_min,B_max,a_fitted,a_min,a_max,b_fitted,b_min,b_max,a50_fitted,a50_min,a50_max,b50_fitted,b50_min,b50_max
43,startPoint_uniform_wDrift,660.0784615825437,condition_80cue,412,7,0.24935631201926475,0.0,10.0,4.770978360258903,0.0,10.0,2.788087439347391,0.25,12.0,0.12896241370557215,-0.5,0.5,0.4833954778009486,0.01,0.49,-0.27449728258186923,-0.5,0.5,0.13702657391107012,0.01,0.49
44,startPoint_uniform_wDrift,588.2118983565722,condition_80cue,414,7,5.904361915732317,0.0,10.0,7.4487279219221065,0.0,10.0,3.8642970791946842,0.25,12.0,0.48994957799218575,-0.5,0.5,0.15805366840109256,0.01,0.49,-0.4568124541574376,-0.5,0.5,0.1267828362773103,0.01,0.49
45,startPoint_uniform_wDrift,678.3859256424166,condition_80cue,403,7,0.16436425316252284,0.0,10.0,0.22504854712166422,0.0,10.0,3.222404137049472,0.25,12.0,-0.02889877959115772,-0.5,0.5,0.4690722424733318,0.01,0.49,0.08009294237220566,-0.5,0.5,0.3097274621776354,0.01,0.49
46,startPoint_uniform_wDrift,748.6835701512389,condition_80cue,413,7,0.14311076933411768,0.0,10.0,0.12960549728805204,0.0,10.0,1.7619753975960002,0.25,12.0,0.030949012909652907,-0.5,0.5,0.03210652214888324,0.01,0.49,-0.3302966662816059,-0.5,0.5,0.2850485784090849,0.01,0.49
47,startPoint_uniform_wDrift,576.5442115246841,condition_80cue,413,7,8.660413518632804,0.0,10.0,8.149260522116334,0.0,10.0,5.561753759334876,0.25,12.0,-0.4065011068740334,-0.5,0.5,0.37180113707320417,0.01,0.49,0.018157195432396356,-0.5,0.5,0.21522000688902918,0.01,0.49
48,startPoint_uniform_wDrift,663.6845632380954,condition_80cue,412,7,0.1529772556585827,0.0,10.0,0.407594903728281,0.0,10.0,3.5975920413759863,0.25,12.0,0.14760745703806066,-0.5,0.5,0.48007845219013595,0.01,0.49,0.05143393834270449,-0.5,0.5,0.15388266456690047,0.01,0.49
49,startPoint_uniform_wDrift,713.6063017996335,condition_80cue,413,7,0.24181615682620877,0.0,10.0,0.7081521549450823,0.0,10.0,1.764586650869921,0.25,12.0,-0.06346654392459633,-0.5,0.5,0.24992391767707986,0.01,0.49,-0.15007245981668166,-0.5,0.5,0.262649303962202,0.01,0.49
50,startPoint_uniform_wDrift,184.33645188717617,condition_80cue,414,7,5.77244989519869,0.0,10.0,4.437416573884838,0.0,10.0,2.3094168547480463,0.25,12.0,0.26947470242307825,-0.5,0.5,0.05861225408412626,0.01,0.49,-0.43790652062799484,-0.5,0.5,0.0627987298087758,0.01,0.49
51,startPoint_uniform_wDrift,592.1927614083476,condition_80cue,414,7,0.0,0.0,10.0,0.0,0.0,10.0,1.0530435241022866,0.25,12.0,-0.044160597715739824,-0.5,0.5,0.03944362187137432,0.01,0.49,-0.04113218877287045,-0.5,0.5,0.11104217594009433,0.01,0.49
52,startPoint_uniform_wDrift,619.0252527825506,condition_80cue,407,7,0.19922780580108776,0.0,10.0,5.095287734840174,0.0,10.0,3.6168023239532117,0.25,12.0,0.022522365041023118,-0.5,0.5,0.4862816553507743,0.01,0.49,-0.49860072056090277,-0.5,0.5,0.09879072425510274,0.01,0.49
