subID,model,loss,condition,sample_size,n_params,noise1_fitted,noise1_min,noise1_max,noise1_50_fitted,noise1_50_min,noise1_50_max,signal1_fitted,signal1_min,signal1_max,signal1_50_fitted,signal1_50_min,signal1_50_max,noise2_fitted,noise2_min,noise2_max,noise2_50_fitted,noise2_50_min,noise2_50_max,noise2_shortS1_fitted,noise2_shortS1_min,noise2_shortS1_max,noise2_50_shortS1_fitted,noise2_50_shortS1_min,noise2_50_shortS1_max,signal2_fitted,signal2_min,signal2_max,signal2_50_fitted,signal2_50_min,signal2_50_max,B_fitted,B_min,B_max
50,unknown_model,28.9066523574208,condition_80cue,376,11,1.2674506433681645,0.0,10.0,0.0,0.0,10.0,0.7574538588887704,0.0,10.0,1.4310028291624597,0.0,10.0,0.6388365093114454,0.0,10.0,8.355282183020035,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.216063628239325,0.0,10.0,5.759848749758035,0.0,10.0,2.929395484957033,0.5,12.0
51,unknown_model,544.2562124131736,condition_80cue,376,11,0.0,0.0,10.0,0.0,0.0,10.0,0.1844448527006291,0.0,10.0,0.1745102661627298,0.0,10.0,6.539522093384342,0.0,10.0,7.931828685938591,0.0,10.0,0.017782624331301348,0.0,10.0,0.060141658113106435,0.0,10.0,0.020358794586186835,0.0,10.0,0.0,0.0,10.0,1.0323163925300047,0.5,12.0
52,unknown_model,710.3481729171251,condition_80cue,370,11,1.8651243614292885,0.0,10.0,3.6573147616940482,0.0,10.0,6.173458682607607,0.0,10.0,3.4487034790147235,0.0,10.0,0.33629482924228765,0.0,10.0,0.0,0.0,10.0,0.8450760143517059,0.0,10.0,0.0,0.0,10.0,4.932230541237427,0.0,10.0,5.310270994206151,0.0,10.0,8.488261530652597,0.5,12.0
53,unknown_model,893.4048079935402,condition_80cue,374,11,2.3985620833500407,0.0,10.0,0.0,0.0,10.0,1.8423603358188354,0.0,10.0,4.384651749030322,0.0,10.0,0.0,0.0,10.0,0.5711202750954653,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.372685930849725,0.0,10.0,4.727783659046514,0.0,10.0,6.427024747939854,0.5,12.0
54,unknown_model,447.4159654468689,condition_80cue,358,11,1.5818844645016645,0.0,10.0,0.44363329132239226,0.0,10.0,2.7136325601714693,0.0,10.0,3.6003943260186597,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.40507022301339923,0.0,10.0,6.147967958990898,0.0,10.0,7.285465166876474,0.0,10.0,4.867890775223064,0.5,12.0
55,unknown_model,1311.4512254516026,condition_65cue,376,11,3.35497007866727,0.0,10.0,3.5801829563729943,0.0,10.0,0.3368052948610442,0.0,10.0,0.6504751673592162,0.0,10.0,0.5412993937492726,0.0,10.0,0.0,0.0,10.0,0.20913791318972733,0.0,10.0,0.0,0.0,10.0,5.905051143667503,0.0,10.0,5.2290559108716295,0.0,10.0,5.355763738282334,0.5,12.0
56,unknown_model,637.559708350169,condition_65cue,376,11,0.0,0.0,10.0,0.10150477222311369,0.0,10.0,0.10409785320230108,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.25323101994603,0.0,10.0,0.0,0.0,10.0,0.02544037830120447,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.1695135334998366,0.5,12.0
57,unknown_model,645.9074260553789,condition_65cue,377,11,0.10710119328966691,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.7492776600463846,0.0,10.0,0.0,0.0,10.0,0.15164000216270074,0.0,10.0,0.0,0.0,10.0,1.0787101029607415,0.0,10.0,0.0,0.0,10.0,1.2828789763788366,0.5,12.0
58,unknown_model,821.1359782565759,condition_65cue,367,11,0.00771833346885873,0.0,10.0,0.12546468488325307,0.0,10.0,0.05628270602107698,0.0,10.0,0.08801065854085496,0.0,10.0,0.0,0.0,10.0,0.015385154698563122,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.04932828022220927,0.0,10.0,0.23762788160935253,0.0,10.0,1.573440115790877,0.5,12.0
59,unknown_model,771.0822243398283,condition_65cue,376,11,1.0596301521649023,0.0,10.0,0.0,0.0,10.0,3.2778675705641587,0.0,10.0,4.5230438267158215,0.0,10.0,0.0,0.0,10.0,8.715573205359956,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.503172448654619,0.0,10.0,8.283971546128866,0.0,10.0,4.442766398130331,0.5,12.0
60,unknown_model,641.6555042365281,condition_65cue,374,11,0.12862338939644927,0.0,10.0,0.11840366450369184,0.0,10.0,0.09657705035274558,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.6447104240433066,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.9023858908627975,0.0,10.0,0.4045658629627048,0.0,10.0,1.257594394461906,0.5,12.0
61,unknown_model,1053.8757197981004,condition_65cue,373,11,2.225796945392321,0.0,10.0,1.156577623261377,0.0,10.0,0.25980545952957046,0.0,10.0,1.1185966658548494,0.0,10.0,0.9237954248512358,0.0,10.0,1.9588160563388208,0.0,10.0,0.4027035691552623,0.0,10.0,0.6519247034375032,0.0,10.0,5.014698628608548,0.0,10.0,5.658652987030041,0.0,10.0,4.702769298817894,0.5,12.0
62,unknown_model,761.2344412895995,condition_65cue,378,11,0.42494317223385836,0.0,10.0,0.0,0.0,10.0,0.7229833423701195,0.0,10.0,1.3445005657122306,0.0,10.0,0.0,0.0,10.0,6.223265927364969,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.136567171745622,0.0,10.0,4.650455523182758,0.0,10.0,2.9592914729661794,0.5,12.0
63,unknown_model,847.832374275016,condition_65cue,356,11,0.9288360329265936,0.0,10.0,0.0,0.0,10.0,5.395547794646317,0.0,10.0,3.9122140540943846,0.0,10.0,0.0,0.0,10.0,3.2932533540010014,0.0,10.0,0.6419086955589368,0.0,10.0,2.3161937040566323,0.0,10.0,5.7731594034056,0.0,10.0,5.8929184865211495,0.0,10.0,10.001307692356228,0.5,12.0
64,unknown_model,879.7158794131374,condition_65cue,375,11,0.6483136246583098,0.0,10.0,1.006035397156796,0.0,10.0,3.9346570425327294,0.0,10.0,3.427070357852366,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.0196320923046445,0.0,10.0,7.666759149242182,0.0,10.0,4.431770574491125,0.5,12.0
65,unknown_model,623.2659392818741,condition_65cue,378,11,0.6594087158653756,0.0,10.0,0.3804465026023371,0.0,10.0,6.796207158977252,0.0,10.0,7.295579141302996,0.0,10.0,0.0,0.0,10.0,6.335146617478831,0.0,10.0,5.25964399831788,0.0,10.0,1.8448038545132128,0.0,10.0,10.0,0.0,10.0,9.592148421812714,0.0,10.0,6.279867845181456,0.5,12.0
66,unknown_model,746.3848777349764,condition_65cue,378,11,0.010085842021036427,0.0,10.0,0.05529382498091807,0.0,10.0,0.08404111732597308,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.1298171661463853,0.0,10.0,0.4970637664844557,0.0,10.0,0.4894962457604509,0.0,10.0,0.9472574121254003,0.0,10.0,1.4638462134470522,0.5,12.0
