subID,noise1_cong,noise1_incong,noise1_neut,signal1_cong,signal1_incong,signal1_neut,noise2_cong,noise2_incong,noise2_neut,signal2_cong,signal2_incong,signal2_neut,B
50,0.39516643214368485,6.494076219958935,3.9481079947264917,1.7116868455738126,0.7211269529954847,0.7404864604938923,0.0,1.8005674615467786,0.0,5.846430547504809,5.476078174572872,5.261205774739936,2.6608983217411506
51,0.01880512165473656,8.222387517267569,5.420729814194304,0.09716771995243982,0.23536602171126866,0.17032490890921378,0.021950685619464352,0.0,0.06390228873689091,0.1010758231871053,0.0,0.0,1.0431583750134834
52,2.173856531270375,3.540774918514677,7.013743747015756,4.538381129497169,8.486855089894705,3.8418862115447117,0.4298129588421097,1.7342562940937325,0.0,4.982945978751486,4.732775412071145,5.354300881879665,7.523888234695419
53,0.8916365449169579,3.1305383101023896,8.30829841894387,1.6307024816056261,1.6099002348222884,1.5099181564337387,0.0,0.0,0.0,4.230729481943114,5.3536554481056475,4.353214923751133,4.909383022019944
54,0.5809684514412728,6.243656213802069,2.98086180119161,0.8311215299295682,0.0,0.6336142733173465,0.0,0.0,0.01850160925926268,4.805062043500359,0.0,5.254704555223505,2.623683214195342
55,0.0,6.947117197015189,5.872968045490989,0.0,0.0,0.0,0.0,0.0,0.005643693804166425,0.0,0.0,0.0,1.5300930255635805
56,0.0357593350548827,4.883238155289154,5.106291040038039,0.15887892064328718,0.0,0.0,0.0,0.0,0.03216985528561728,0.2251201392963781,0.0,0.0,1.161350602835558
57,0.018134135105098967,3.8783853065350815,8.512016747199265,0.0,0.19581342836314722,0.0,0.2444727105170774,0.2618070463483878,0.0,1.4282985413901828,0.7244473246605866,0.0,1.263212177192651
58,0.024973859060367844,6.675156583996173,7.635651399487724,0.05472753706257457,0.0,0.23159649575900587,0.0,0.0,0.0,0.026199277338085407,0.0,0.44185109121421073,1.575379705608901
59,0.0,5.556781993994494,4.423405275051299,0.7564085209510644,0.0,0.7099405066934114,0.09184274542314744,0.0,0.0,3.0381441218708454,0.0,3.4121055073833997,1.619203435592441
60,0.0,6.503306533983077,5.233319245418012,0.15212488445063302,0.24016579877690714,0.0,0.0,0.0,0.0,1.0761492834476571,0.4730022472746007,0.4524869914639955,1.240182518380605
61,0.0,7.340965528099256,5.970436673577794,0.0,0.023058773860713234,0.0,0.052195623133422485,0.0,0.36920356471942284,0.6572042177972155,0.0,0.2520665060187406,1.6892977404404697
62,0.17168891536916236,8.63200516575904,1.081283239758775,0.4113385733741716,0.0,0.11001264449580947,0.0,0.0,0.1497049670132877,3.9477979468487345,0.0,3.8102201510206943,2.0830327391516814
63,0.4195441080621938,8.528799489643404,3.6140773549497447,6.456038451479989,2.0227021740177613,5.99776714462844,1.4215212797075416,4.738428433982189,2.2243019240839104,6.224954966880698,6.40542499345272,5.838783847522595,11.30209158935326
64,0.19026935585834348,2.384730167666632,7.884997220739589,0.6119528532297487,0.012859383342385122,0.09375604378538505,0.10460653187881608,0.37896052098321675,0.010311462664851945,2.1385737565768292,0.019085913490426876,4.544276676566917,1.600740690375197
65,0.6298412114763181,5.282250603493157,0.48567586407377306,6.930503983756714,6.96544646210715,7.0534987915606555,0.0,6.564040500056786,5.026749129704056,10.0,10.0,9.260698193401375,6.272930620972276
66,0.0,8.636985248339725,2.068380768517948,0.16755591225661004,0.0,0.01866026933391557,0.30382965725968275,0.0,0.388881229240031,0.9356006487183192,0.0,0.9713547904213938,1.447667905696484
67,1.2521169485361818,7.810058573507042,4.00081985176771,4.487485814656521,1.442128400005638,4.716341833688065,0.0,3.2640657958937944,0.0,4.635967621442557,6.463250171569458,4.481919119229305,8.04917410110004
68,0.0,3.2550753811264777,1.804970761349678,0.6551994716319602,0.0,0.08961434719909726,0.0,0.0,0.0,2.585740737218109,0.0,1.3272073033872118,1.5150690579139052
69,0.03572943944976461,2.1314503945711367,9.31662115702789,0.10375641601528074,0.37400509192081766,0.0,0.0,0.0,5.248913958273357,0.0,0.01867141058002013,0.5117854191040192,0.9820833005726968
70,0.006951579343123346,8.951839737854431,4.405453087168222,0.32373750477196844,0.0,0.0,0.013755190066323492,0.04900829145461198,0.4717185157586071,0.2129595948654534,0.10649527266329277,0.15963629052809986,1.047424243514369
71,0.7898824518065547,4.940852461818926,4.6395173138149755,0.39071900804202125,0.0,0.29587896912783657,0.0,0.0,0.0,5.092255530846141,0.0,4.989180269837989,2.3762506978349442
72,0.0,0.17378844512100233,9.011647202648037,0.39880389644211856,0.0,0.30676465523945334,0.09537197744417143,0.0,0.0,0.7056459424053949,0.0,1.6039541053693611,1.3977416608185944
