subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,bias_fitted,bias_min,bias_max,bias50_fitted,bias50_min,bias50_max
66,startPoint_0ndt,840.0928972157144,condition_65cue,418,3,1.4306167873637612,0.5,15.0,0.03259254079720664,0.0,1.0,0.07592219842237552,0.0,1.0
67,startPoint_0ndt,971.7533657426628,condition_65cue,377,3,1.9119563228959826,0.5,15.0,0.003458210788703342,0.0,1.0,0.06552971305122163,0.0,1.0
68,startPoint_0ndt,819.0241683830689,condition_65cue,417,3,1.424999959745909,0.5,15.0,0.09964854678945495,0.0,1.0,0.027157995852086947,0.0,1.0
69,startPoint_0ndt,544.6657577644863,condition_65cue,418,3,0.9937398084549836,0.5,15.0,0.002144121630629603,0.0,1.0,0.034652375405031854,0.0,1.0
70,startPoint_0ndt,784.973432278065,condition_65cue,418,3,1.058992273336632,0.5,15.0,0.017896750474445944,0.0,1.0,0.06412272105428302,0.0,1.0
71,startPoint_0ndt,847.6943642257943,condition_65cue,415,3,1.46160780382751,0.5,15.0,0.005223485249348403,0.0,1.0,0.12872097674203725,0.0,1.0
72,startPoint_0ndt,804.5255083855013,condition_65cue,418,3,1.393090590737507,0.5,15.0,0.01762880321119209,0.0,1.0,0.055848374729631556,0.0,1.0
73,startPoint_0ndt,794.1576323000141,condition_65cue,418,3,1.379470078915722,0.5,15.0,0.029243995584038562,0.0,1.0,0.06197653776641543,0.0,1.0
75,startPoint_0ndt,932.6107352868731,condition_65cue,379,3,1.7989330914596071,0.5,15.0,0.009110997239852425,0.0,1.0,0.04430329682584627,0.0,1.0
76,startPoint_0ndt,1043.1863245279455,condition_65cue,413,3,1.8769533958301083,0.5,15.0,0.032373438735593285,0.0,1.0,0.008499144148000348,0.0,1.0
77,startPoint_0ndt,792.3226538743812,condition_65cue,417,3,1.4005730899198783,0.5,15.0,0.06316312642555655,0.0,1.0,0.03271052793716239,0.0,1.0
