subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,bias_fitted,bias_min,bias_max,bias50_fitted,bias50_min,bias50_max,nondectime_fitted,nondectime_min,nondectime_max
61,startPoint_only,686.854040979289,condition_65cue,413,4,1.0052005621970932,0.5,15.0,0.03396709674041615,0.0,1.0,0.0006232959906222191,0.0,1.0,1.4071029814067522,0.01,1.5
62,startPoint_only,687.1466088796831,condition_65cue,417,4,1.0493109353517274,0.5,15.0,0.1619464296731855,0.0,1.0,0.212522719980535,0.0,1.0,1.0810188486382095,0.01,1.5
63,startPoint_only,779.0010933927524,condition_65cue,394,4,1.405378646953291,0.5,15.0,0.02861846695830822,0.0,1.0,0.06480668074561591,0.0,1.0,1.496257914308337,0.01,1.5
64,startPoint_only,476.3836337791261,condition_65cue,414,4,0.8171120429606618,0.5,15.0,0.05566018132498335,0.0,1.0,0.2816668296999929,0.0,1.0,1.0525725906675878,0.01,1.5
65,startPoint_only,226.57050290155536,condition_65cue,418,4,0.6197791985869286,0.5,15.0,0.08447477955791305,0.0,1.0,0.2595785454095485,0.0,1.0,1.1780708182957744,0.01,1.5
66,startPoint_only,691.3454576183901,condition_65cue,418,4,1.0557967042293392,0.5,15.0,0.059201082596471444,0.0,1.0,0.16035299498490463,0.0,1.0,0.6778574519374582,0.01,1.5
67,startPoint_only,747.3420529686582,condition_65cue,377,4,1.3531471822859595,0.5,15.0,0.03878918547490884,0.0,1.0,0.1380628343573435,0.0,1.0,1.4953158630573316,0.01,1.5
68,startPoint_only,686.5345958395766,condition_65cue,417,4,1.1264645190622917,0.5,15.0,0.21828756483698575,0.0,1.0,0.017687105439259165,0.0,1.0,0.5413124035850013,0.01,1.5
69,startPoint_only,437.9947375948256,condition_65cue,418,4,0.7730492738683634,0.5,15.0,0.0034592285490770425,0.0,1.0,0.06652910733546769,0.0,1.0,0.26769197023554764,0.01,1.5
70,startPoint_only,787.5061565341002,condition_65cue,418,4,1.05100745418905,0.5,15.0,0.025716565675312886,0.0,1.0,0.09607235462268826,0.0,1.0,0.01404125942559764,0.01,1.5
71,startPoint_only,585.1943136384311,condition_65cue,415,4,0.918336456599565,0.5,15.0,0.05812168458009226,0.0,1.0,0.24328158215018408,0.0,1.0,0.9994673928319155,0.01,1.5
72,startPoint_only,445.58771960356563,condition_65cue,418,4,0.796179154328727,0.5,15.0,0.03904550893983072,0.0,1.0,0.12075673677095844,0.0,1.0,1.0067423464198,0.01,1.5
