"subID","block","trial","targetImage","targetIdx","coherence","staircase","respFrame","response","accuracy","RT","flickerDuration","accuracyFactor","zlogRT"
"69",1,79," S1-15.jpg",1,0.8832,1,19,2,0,0.3527,0.3613,"0",0.402577199801849
"69",1,80," S2-19.jpg",2,0.773,2,22,1,0,0.4087,0.4162,"0",0.661700100544826
"70",1,1," S3-12.jpg",2,0.7343,1,0,NA,0,NA,3.4156,"0",NA
"70",1,2," S4-20.jpg",1,0.5843,2,61,1,1,0.9654,0.9683,"1",-0.915313362831409
"70",1,3," S3-12.jpg",2,0.8148,1,81,2,1,1.2439,1.2472,"1",-0.254644679262903
"70",1,4," S3-12.jpg",2,0.5843,2,100,2,1,1.4922,1.4948,"1",0.219748081673251
"70",1,5," S4-20.jpg",1,0.7343,1,75,1,1,1.1293,1.1323,"1",-0.506577647464857
"70",1,6," S4-20.jpg",1,0.5464,2,59,1,1,0.9536,0.9577,"1",-0.947369362162607
"70",1,7," S3-12.jpg",2,0.7934,1,111,2,1,1.6731,1.6762,"1",0.518007392229449
"70",1,8," S4-20.jpg",1,0.5094,2,104,1,1,1.5596,1.562,"1",0.334900023929252
"70",1,9," S3-12.jpg",2,0.7708,1,85,2,1,1.3077,1.3101,"1",-0.124269346408359
"70",1,10," S3-12.jpg",2,0.5464,2,83,1,0,1.2732,1.2755,"0",-0.193959368352636
"70",1,11," S3-12.jpg",2,0.7478,1,110,1,0,1.6069,1.6092,"0",0.412777302620775
"70",1,12," S4-20.jpg",1,0.4763,2,108,2,0,1.6231,1.6255,"0",0.438923765650619
"70",1,13," S3-12.jpg",2,0.8021,1,73,2,1,1.136,1.1383,"1",-0.491158968779252
"70",1,14," S3-12.jpg",2,0.6335,2,70,1,0,1.1071,1.1089,"0",-0.558328149881133
"70",1,15," S4-20.jpg",1,0.6964,1,190,2,0,2.7633,2.7656,"0",1.82583942510131
"70",1,16," S4-20.jpg",1,0.5509,2,75,1,1,1.1524,1.1547,"1",-0.453798169540883
"70",1,17," S3-12.jpg",2,0.7842,1,83,2,1,1.2662,1.2685,"1",-0.2083296353994
"70",1,18," S4-20.jpg",1,0.5214,2,183,1,1,2.6654,2.6677,"1",1.73181715123103
"70",1,19," S3-12.jpg",2,0.7664,1,52,2,1,0.8664,0.8687,"1",-1.19733168946769
"70",1,20," S4-20.jpg",1,0.495,2,120,2,0,1.7985,1.8009,"0",0.706395577796651
"70",1,21," S3-12.jpg",2,0.7491,1,63,2,1,1.003,1.0054,"1",-0.815721436511988
"70",1,22," S3-12.jpg",2,0.6888,2,202,1,0,2.9113,2.9136,"0",1.96183406064639
"70",1,23," S4-20.jpg",1,0.7835,1,102,1,1,1.5325,1.5348,"1",0.289209757105804
"70",1,24," S3-12.jpg",2,0.7229,2,79,2,1,1.2415,1.2438,"1",-0.259678664026725
"70",1,25," S3-12.jpg",2,0.733,1,140,1,0,2.0788,2.0811,"0",1.08392325662234
"70",1,26," S4-20.jpg",1,0.5567,2,100,1,1,1.4905,1.4929,"1",0.216776852105447
"70",1,27," S4-20.jpg",1,0.758,1,165,2,0,2.3952,2.3975,"0",1.45320929806774
"70",1,28," S3-12.jpg",2,0.7133,2,77,2,1,1.1954,1.1978,"1",-0.35830930299148
"70",1,29," S4-20.jpg",1,0.8181,1,57,1,1,0.9205,0.9228,"1",-1.03945188537038
"70",1,30," S4-20.jpg",1,0.5324,2,209,2,0,2.9954,2.9978,"0",2.03606368210569
"70",1,31," S3-12.jpg",2,0.7696,1,63,2,1,0.9935,0.9958,"1",-0.840527301896684
"70",1,32," S4-20.jpg",1,0.5869,2,61,1,1,0.9846,0.987,"1",-0.863982629777548
"70",1,33," S3-12.jpg",2,0.7547,1,85,2,1,1.3133,1.3156,"1",-0.113131057438375
"70",1,34," S4-20.jpg",1,0.565,2,67,1,1,1.0401,1.0424,"1",-0.72104784752835
"70",1,35," S3-12.jpg",2,0.7408,1,98,2,1,1.4822,1.4845,"1",0.202221425059951
"70",1,36," S3-12.jpg",2,0.7028,2,108,1,0,1.633,1.6353,"0",0.454773997257898
"70",1,37," S3-12.jpg",2,0.7279,1,116,2,1,1.7393,1.7416,"1",0.619153543466461
"70",1,38," S4-20.jpg",1,0.545,2,60,1,1,0.973,0.9754,"1",-0.894873911640927
"70",1,39," S4-20.jpg",1,0.8,1,123,1,1,1.8351,1.8374,"1",0.758907204350936
"70",1,40," S3-12.jpg",2,0.7275,2,75,2,1,1.1597,1.162,"1",-0.43733875044397
"70",1,41," S4-20.jpg",1,0.7815,1,56,1,1,0.8975,0.8998,"1",-1.1054078297437
"70",1,42," S4-20.jpg",1,0.5272,2,72,2,0,1.1085,1.1103,"0",-0.55503407436515
