"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
66,1,4," S3-12.jpg",2,2," yellow","congruent",2,1,1.2612,0.85,1,0.65,0.65,0.4112
66,1,5," S3-12.jpg",2,1," blue","incongruent",2,1,1.4383,0.95,1,0.65,0.35,0.4883
66,1,6," S4-20.jpg",1,1," blue","congruent",1,1,1.578,0.95,1,0.65,0.65,0.628
66,1,7," S3-12.jpg",2,3," red","neutral",2,1,1.1666,0.7833,1,0.5,0.5,0.3833
66,1,8," S4-20.jpg",1,1," blue","congruent",1,1,1.4016,0.8833,1,0.65,0.65,0.5183
66,1,9," S4-20.jpg",1,3," red","neutral",1,1,1.4246,0.7833,1,0.5,0.5,0.6413
66,1,10," S4-20.jpg",1,3," red","neutral",1,1,1.5313,0.9167,1,0.5,0.5,0.6146
66,1,11," S3-12.jpg",2,3," red","neutral",2,1,1.3777,0.9333,1,0.5,0.5,0.4444
66,1,12," S4-20.jpg",1,2," yellow","incongruent",1,1,1.4822,0.8667,1,0.65,0.35,0.6155
66,1,13," S4-20.jpg",1,3," red","neutral",1,1,1.4718,0.8333,1,0.5,0.5,0.6385
66,1,14," S4-20.jpg",1,2," yellow","incongruent",1,1,1.4717,0.8,1,0.65,0.35,0.6717
66,1,15," S3-12.jpg",2,3," red","neutral",2,1,1.6128,1.1,1,0.5,0.5,0.5128
66,1,16," S4-20.jpg",1,3," red","neutral",1,1,1.4483,0.9,1,0.5,0.5,0.5483
66,1,17," S4-20.jpg",1,1," blue","congruent",1,1,1.2839,0.8,1,0.65,0.65,0.4839
66,1,18," S3-12.jpg",2,2," yellow","congruent",2,1,1.2602,0.8,1,0.65,0.65,0.4602
66,1,19," S3-12.jpg",2,2," yellow","congruent",2,1,1.1663,0.8333,1,0.65,0.65,0.333
66,1,20," S4-20.jpg",1,3," red","neutral",1,1,1.1697,1.5,1,0.5,0.5,-0.3303
66,1,21," S3-12.jpg",2,2," yellow","congruent",2,1,0.8117,0.7667,1,0.65,0.65,0.0449999999999999
66,1,22," S4-20.jpg",1,3," red","neutral",1,1,0.9775,0.7667,1,0.5,0.5,0.2108
66,1,23," S4-20.jpg",1,1," blue","congruent",1,1,0.8134,1.1333,1,0.65,0.65,-0.3199
66,1,24," S4-20.jpg",1,1," blue","congruent",1,1,0.9647,0.8667,1,0.65,0.65,0.098
66,1,25," S4-20.jpg",1,1," blue","congruent",1,1,0.9519,1.15,1,0.65,0.65,-0.1981
66,1,26," S4-20.jpg",1,1," blue","congruent",1,1,0.6242,0.7833,1,0.65,0.65,-0.1591
66,1,27," S4-20.jpg",1,2," yellow","incongruent",1,1,1.1191,0.85,1,0.65,0.35,0.2691
66,1,28," S4-20.jpg",1,3," red","neutral",1,1,1.1661,0.7667,1,0.5,0.5,0.3994
66,1,29," S3-12.jpg",2,2," yellow","congruent",2,1,1.0948,0.9167,1,0.65,0.65,0.1781
66,1,30," S3-12.jpg",2,3," red","neutral",1,0,1.0124,0.9,1,0.5,0.5,0.1124
66,1,31," S4-20.jpg",1,1," blue","congruent",1,1,0.8929,1.0167,1,0.65,0.65,-0.1238
66,1,32," S3-12.jpg",2,2," yellow","congruent",2,1,0.9766,0.8333,1,0.65,0.65,0.1433
66,1,33," S4-20.jpg",1,2," yellow","incongruent",2,0,0.8591,0.7667,1,0.65,0.35,0.0923999999999999
66,1,34," S4-20.jpg",1,1," blue","congruent",1,1,0.9996,0.85,1,0.65,0.65,0.1496
66,1,35," S3-12.jpg",2,1," blue","incongruent",1,0,1.1549,1.1833,1,0.65,0.35,-0.0284
66,1,36," S3-12.jpg",2,1," blue","incongruent",2,1,1.5548,0.8,1,0.65,0.35,0.7548
66,1,37," S4-20.jpg",1,1," blue","congruent",2,0,1.096,0.8,1,0.65,0.65,0.296
66,1,38," S3-12.jpg",2,3," red","neutral",1,0,1.0956,0.7833,1,0.5,0.5,0.3123
66,1,39," S3-12.jpg",2,2," yellow","congruent",2,1,1.3428,0.8167,1,0.65,0.65,0.5261
66,1,40," S4-20.jpg",1,3," red","neutral",1,1,1.625,0.8167,1,0.5,0.5,0.8083
66,1,41," S4-20.jpg",1,3," red","neutral",1,1,1.1645,0.9833,1,0.5,0.5,0.1812
66,1,42," S3-12.jpg",2,3," red","neutral",1,0,1.0951,0.8833,1,0.5,0.5,0.2118
66,1,43," S4-20.jpg",1,1," blue","congruent",1,1,1.0587,0.8167,1,0.65,0.65,0.242
66,1,44," S3-12.jpg",2,2," yellow","congruent",2,1,1.6957,1.05,1,0.65,0.65,0.6457
66,1,45," S4-20.jpg",1,3," red","neutral",1,1,1.2599,0.8,1,0.5,0.5,0.4599
66,1,46," S4-20.jpg",1,2," yellow","incongruent",1,1,1.4835,0.75,1,0.65,0.35,0.7335
66,1,47," S4-20.jpg",1,3," red","neutral",1,1,1.3663,0.8,1,0.5,0.5,0.5663
66,1,48," S3-12.jpg",2,3," red","neutral",2,1,1.4711,0.9667,1,0.5,0.5,0.5044
66,1,49," S3-12.jpg",2,1," blue","incongruent",2,1,1.4485,0.8833,1,0.65,0.35,0.5652
66,1,50," S4-20.jpg",1,1," blue","congruent",1,1,1.3422,0.8167,1,0.65,0.65,0.5255
66,1,51," S4-20.jpg",1,1," blue","congruent",1,1,1.5534,1,1,0.65,0.65,0.5534
66,1,52," S3-12.jpg",2,2," yellow","congruent",2,1,1.8136,1.0167,1,0.65,0.65,0.7969
66,1,53," S3-12.jpg",2,2," yellow","congruent",2,1,1.4947,1.0333,1,0.65,0.65,0.4614
66,1,54," S4-20.jpg",1,2," yellow","incongruent",1,1,1.7071,1.1167,1,0.65,0.35,0.5904
66,1,55," S4-20.jpg",1,2," yellow","incongruent",1,1,1.3892,0.8167,1,0.65,0.35,0.5725
66,1,56," S3-12.jpg",2,3," red","neutral",2,1,1.3429,0.7667,1,0.5,0.5,0.5762
66,1,57," S3-12.jpg",2,3," red","neutral",2,1,1.413,0.9833,1,0.5,0.5,0.4297
