"subID","block","trial","targetName","targetIdx","response","accuracy","RT","postFlickerResp","confidence","confRT","coherence","noise1_duration","signal1_onset","signal1_duration","noise2_onset","noise2_duration","signal2_onset","signal2_duration","zlogRT"
"57",1,31,"S2-19.jpg",2,1,0,1.54913445794955,0,4,0.222211375134066,0.838987223012337,1.24484018942375,1.25867174708401,0.304294268525804,NA,NA,NA,NA,0.0742354879990668
"57",1,32,"S2-19.jpg",2,2,1,2.07110062497668,0,3,1.25635208399035,0.838987223012337,1.17362368748679,1.18743102498663,0.497064149994403,1.69830251248088,0.386605449995647,NA,NA,1.04569444411393
"57",1,33,"S2-19.jpg",2,2,1,1.09031770797446,0,1,0.446250499924645,0.838987223012337,0.966104298205218,0.979905788179578,0.124213409769242,NA,NA,NA,NA,-1.10077093582013
"57",1,34,"S1-15.jpg",1,1,1,0.720798917114735,0,4,0.200571791967377,0.499047117570989,0.720798917114735,NA,NA,NA,NA,NA,NA,-2.48532502025058
"57",1,35,"S1-15.jpg",1,1,1,1.64621479203925,0,4,0.96215808391571,0.499047117570989,1.15235035442747,1.1660688110278,0.493864437611775,NA,NA,NA,NA,0.277578224427119
"57",1,36,"S1-15.jpg",1,2,0,1.2130404592026,0,4,0.241527458885685,0.499047117570989,0.634089330946814,0.64787388161957,0.578951128255786,NA,NA,NA,NA,-0.743944418488528
"57",1,37,"S1-15.jpg",1,2,0,2.02823416702449,0,4,1.00340304104611,0.499047117570989,0.944657009299077,0.958549024141711,0.527896564020073,1.50033760300442,0.541788578862706,NA,NA,0.975726019269045
"57",1,38,"S2-19.jpg",2,2,1,1.66252229199745,0,3,0.609009082894772,0.838987223012337,0.651154564365668,0.66500891679898,0.471047982732611,1.1499112519649,0.526465392465859,NA,NA,0.31055519065307
"57",1,39,"S2-19.jpg",2,1,0,0.867032916052267,0,4,0.309613916790113,0.838987223012337,0.811983207096568,0.825745634335492,0.0550497089556995,NA,NA,NA,NA,-1.86736794403646
"57",1,40,"S2-19.jpg",2,1,0,1.23323770891875,0,2,0.368028749944642,0.838987223012337,0.872966018672823,0.88682262214382,0.360271690245927,NA,NA,NA,NA,-0.688701283051207
"58",1,1,"S4-20.jpg",2,1,0,1.2440315419808,0,NA,NA,0.645706690728628,1.2440315419808,NA,NA,NA,NA,NA,NA,-1.33701535370166
"58",1,2,"S4-20.jpg",2,2,1,1.69991295901127,0,NA,NA,0.645706690728628,0.682751926160264,0.696685638939045,0.418011383363427,1.12863073508125,0.585215936708798,NA,NA,-0.288974532530553
"58",1,3,"S3-12.jpg",1,1,1,1.48460104200058,0,NA,NA,0.658088126115976,0.74230052100029,0.756855433176766,0.567641574882575,1.33905192023582,0.160104033941239,NA,NA,-0.743581294166245
"58",1,4,"S4-20.jpg",2,2,1,1.74115208396688,0,NA,NA,0.645706690728628,1.15589087927213,1.1705224093895,0.58526120469475,NA,NA,NA,NA,-0.208513565936156
"58",1,5,"S3-12.jpg",1,1,1,1.13374525005929,0,NA,NA,0.658088126115976,1.11862864672517,1.13374525005929,0.0151166033341239,NA,NA,NA,NA,-1.64862440693704
"58",1,6,"S4-20.jpg",2,2,1,1.86376733309589,0,NA,NA,0.645706690728628,1.19397594776455,1.20853663005437,0.465941833273972,1.68903914561815,0.189288869767551,NA,NA,0.0199223459886909
"58",1,7,"S3-12.jpg",1,1,1,2.36955800000578,0,NA,NA,0.658088126115976,0.697783950921947,0.712321116566155,0.552412294479875,1.27927057669024,1.10482458895975,NA,NA,0.825887903655533
"58",1,8,"S3-12.jpg",1,1,1,2.49698929209262,0,NA,NA,0.658088126115976,0.788522934345038,0.803125210906983,0.627897892163641,1.44562537963257,0.671704721849477,2.13193237804399,0.379659190610574,1.00172168681902
"58",1,9,"S3-12.jpg",1,1,1,2.47054129187018,0,NA,NA,0.658088126115976,1.06087949592072,1.07541209175525,0.523173450043097,1.61311813763288,0.770227579230115,2.39787831269753,0.0871955750071828,0.965977593408672
