subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
44,unknown_model,436.94428544800707,condition_80cue,376,12,1.326624539826267,0.0,10.0,0.0,0.0,10.0,1.8184840084223226,0.0,10.0,1.5227602749594162,0.0,10.0,3.1666797077293602,0.0,10.0,0.6604624675325559,0.0,10.0,0.0,0.0,10.0,0.7921466557544381,0.0,10.0,6.656049371785074,0.0,10.0,5.585171072507566,0.0,10.0,7.410681885407809,0.0,10.0,3.9569317596895335,0.5,12.0
45,unknown_model,851.059007608632,condition_80cue,367,12,2.6231537503799944,0.0,10.0,0.0,0.0,10.0,1.5355019707856832,0.0,10.0,0.0,0.0,10.0,5.667609167193016,0.0,10.0,0.0,0.0,10.0,0.8261997473472641,0.0,10.0,0.0,0.0,10.0,4.624894605124562,0.0,10.0,5.061074922582998,0.0,10.0,4.057706494169248,0.0,10.0,5.810643907979258,0.5,12.0
46,unknown_model,729.2566770243313,condition_80cue,375,12,0.0,0.0,10.0,0.0,0.0,10.0,0.233579597831572,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.07786356017794296,0.0,10.0,0.6472056331327987,0.0,10.0,0.0,0.0,10.0,0.23495843538874847,0.0,10.0,1.4225897411583874,0.5,12.0
47,unknown_model,472.4801180230155,condition_80cue,375,12,1.0425376121955552,0.0,10.0,1.44156620735919,0.0,10.0,3.6933453580131417,0.0,10.0,0.0,0.0,10.0,3.8162709282317864,0.0,10.0,0.6860138424677883,0.0,10.0,0.0,0.0,10.0,1.6654808291698853,0.0,10.0,7.4956712705247535,0.0,10.0,8.236143364714014,0.0,10.0,5.955521395099149,0.0,10.0,5.9190777500778955,0.5,12.0
48,unknown_model,577.4593567723957,condition_80cue,374,12,0.0,0.0,10.0,0.0,0.0,10.0,0.04794622567074174,0.0,10.0,0.0,0.0,10.0,0.37120198861927184,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.098591168244903,0.0,10.0,0.0,0.0,10.0,3.676965444297462,0.0,10.0,2.696254306842466,0.5,12.0
49,unknown_model,859.9422816893232,condition_80cue,375,12,1.1822493104082432,0.0,10.0,1.5400022134906908,0.0,10.0,5.418479052435904,0.0,10.0,5.468325298547942,0.0,10.0,4.649300722450658,0.0,10.0,0.0,0.0,10.0,4.515670089004394,0.0,10.0,0.0,0.0,10.0,8.434883858465987,0.0,10.0,8.602373183339951,0.0,10.0,8.074077063090039,0.0,10.0,5.758375020192686,0.5,12.0
50,unknown_model,26.536213904690154,condition_80cue,376,12,1.182585885803023,0.0,10.0,0.0,0.0,10.0,0.9636267082200395,0.0,10.0,0.0,0.0,10.0,1.3794342520863179,0.0,10.0,0.0,0.0,10.0,1.1213315121997809,0.0,10.0,0.0,0.0,10.0,6.221621159419592,0.0,10.0,5.8322270073477975,0.0,10.0,5.698503412378181,0.0,10.0,2.882158933292687,0.5,12.0
51,unknown_model,543.837929520317,condition_80cue,376,12,0.0,0.0,10.0,0.0,0.0,10.0,0.15735730170896284,0.0,10.0,0.22508575491017377,0.0,10.0,0.17321900718082844,0.0,10.0,0.02127340962581245,0.0,10.0,0.0,0.0,10.0,0.058374390445885986,0.0,10.0,0.11957098306743653,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0286608923701834,0.5,12.0
52,unknown_model,705.4942315812831,condition_80cue,370,12,0.9548183845602658,0.0,10.0,2.308420435367563,0.0,10.0,4.42731933683993,0.0,10.0,4.092243611359963,0.0,10.0,2.229767513486975,0.0,10.0,0.3889221978139844,0.0,10.0,1.2097417483443185,0.0,10.0,0.0,0.0,10.0,4.903619850252225,0.0,10.0,3.9679696175284778,0.0,10.0,5.0136809249479555,0.0,10.0,6.534155531318392,0.5,12.0
53,unknown_model,892.5282605221743,condition_80cue,374,12,2.1294565464062982,0.0,10.0,0.0,0.0,10.0,1.805822098617741,0.0,10.0,0.0,0.0,10.0,4.179886187034774,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.297539313432813,0.0,10.0,5.147826519854042,0.0,10.0,4.597350976874667,0.0,10.0,6.114414304148906,0.5,12.0
54,unknown_model,444.6753228614818,condition_80cue,358,12,1.4821218663125268,0.0,10.0,0.4568537027856785,0.0,10.0,2.8373647318326727,0.0,10.0,0.0,0.0,10.0,3.6088854482852177,0.0,10.0,0.0,0.0,10.0,7.1581404023179775,0.0,10.0,0.0875338998623049,0.0,10.0,6.114410875340406,0.0,10.0,10.0,0.0,10.0,7.281457991414965,0.0,10.0,4.845433751061392,0.5,12.0
55,unknown_model,821.2007311843614,condition_65cue,376,12,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.02612805870770682,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.5569594684242514,0.5,12.0
56,unknown_model,636.2298263579605,condition_65cue,376,12,0.0,0.0,10.0,0.1004495936749019,0.0,10.0,0.25265899555836396,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.026773257343032954,0.0,10.0,0.14234161189825537,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.1637244215310325,0.5,12.0
57,unknown_model,643.8234622967326,condition_65cue,377,12,0.09576840522494819,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.14808903680467353,0.0,10.0,0.0,0.0,10.0,0.12606778442247513,0.0,10.0,0.37945196944865744,0.0,10.0,0.0,0.0,10.0,1.285909176654136,0.0,10.0,0.7553957132034496,0.0,10.0,0.0,0.0,10.0,1.2706789001987167,0.5,12.0
58,unknown_model,1132.5665919313612,condition_65cue,367,12,4.294508261125348,0.0,10.0,3.564904840752092,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.3882428842580765,0.0,10.0,4.412108848288526,0.0,10.0,7.151327275272761,0.0,10.0,5.654582525963585,0.5,12.0
59,unknown_model,766.0256151358154,condition_65cue,376,12,1.4169433337914552,0.0,10.0,0.0,0.0,10.0,3.7233935504105915,0.0,10.0,1.277157494044038,0.0,10.0,5.027981756517582,0.0,10.0,0.1751832963430027,0.0,10.0,0.012186630464175589,0.0,10.0,0.0,0.0,10.0,7.610335366312467,0.0,10.0,8.69550734052889,0.0,10.0,8.850667603398385,0.0,10.0,4.830917384208943,0.5,12.0
60,unknown_model,637.7738683386656,condition_65cue,374,12,0.13093764077644252,0.0,10.0,0.12069320700965135,0.0,10.0,0.08573334083350372,0.0,10.0,0.08603505759020126,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.148875140345442,0.0,10.0,0.5163553459924382,0.0,10.0,0.40678712375014936,0.0,10.0,1.267265238865538,0.5,12.0
61,unknown_model,1054.5720427240399,condition_65cue,373,12,2.9568775152798388,0.0,10.0,1.0101469604837983,0.0,10.0,0.7656055821786892,0.0,10.0,0.09878203979726832,0.0,10.0,2.679085619863804,0.0,10.0,0.3062680726736053,0.0,10.0,1.0567002004757953,0.0,10.0,0.9133960474442672,0.0,10.0,5.10213207690317,0.0,10.0,5.248077946639876,0.0,10.0,5.616408113184715,0.0,10.0,5.471025079134988,0.5,12.0
62,unknown_model,642.2122609087356,condition_65cue,378,12,0.0,0.0,10.0,0.0,0.0,10.0,1.326785890154002,0.0,10.0,0.0,0.0,10.0,1.2189502575117128,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.1569520279706405,0.0,10.0,0.0,0.0,10.0,4.595161052897691,0.0,10.0,2.8879862103330023,0.5,12.0
