subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
45,unknown_model,727.8821194009904,condition_80cue,367,12,0.14725218453281105,-20.0,200.0,-0.7803257761589847,-20.0,20.0,1.226875566783797,-20.0,20.0,-1.7395084341067628,-20.0,20.0,3.0169992256133438,-20.0,20.0,-1.1231316318002766,-20.0,20.0,1.9072744897767164,-20.0,20.0,-1.1889849828159447,-20.0,20.0,4.632074286677712,-20.0,20.0,-4.811441433227794,-20.0,20.0,4.15194215958377,-20.0,20.0,3.3266619378554587,0.5,15.0
46,unknown_model,726.1511731928346,condition_80cue,375,12,-0.01286224907991489,-20.0,200.0,-0.029996009175492427,-20.0,20.0,0.2791342645846549,-20.0,20.0,0.15701557222237866,-20.0,20.0,-0.19105678866498021,-20.0,20.0,-0.21018562010725655,-20.0,20.0,-0.44309183422425974,-20.0,20.0,0.13614267261831683,-20.0,20.0,0.6590841526270507,-20.0,20.0,-0.4598601288540339,-20.0,20.0,0.2623496129942954,-20.0,20.0,1.4154253593287596,0.5,15.0
47,unknown_model,210.16879216008667,condition_80cue,375,12,0.7056889286224337,-20.0,200.0,1.0767807308000694,-20.0,20.0,3.3950135878895877,-20.0,20.0,-4.4057021320688365,-20.0,20.0,3.508920603598703,-20.0,20.0,0.6521116814388012,-20.0,20.0,-0.0028327693754657676,-20.0,20.0,1.6220786440891553,-20.0,20.0,7.381526964275317,-20.0,20.0,-7.966989553846374,-20.0,20.0,5.918759833070427,-20.0,20.0,5.4424445893288995,0.5,15.0
48,unknown_model,496.8369666924727,condition_80cue,374,12,0.5122251279312603,-20.0,200.0,-0.9441656445476019,-20.0,20.0,0.5088409992744334,-20.0,20.0,-1.9812557213351059,-20.0,20.0,2.6040166868035595,-20.0,20.0,-0.8806273646079702,-20.0,20.0,0.6520936560259205,-20.0,20.0,-0.4254399672016432,-20.0,20.0,5.112759004490624,-20.0,20.0,-4.9394889988619335,-20.0,20.0,4.4455866357467295,-20.0,20.0,3.454617840546722,0.5,15.0
49,unknown_model,752.4595660558506,condition_80cue,375,12,1.7498847378964864,-20.0,200.0,1.6925149467441876,-20.0,20.0,5.191508646531745,-20.0,20.0,-6.8330326997644795,-20.0,20.0,4.852249225710515,-20.0,20.0,-1.423013451138084,-20.0,20.0,-2.6904871317781645,-20.0,20.0,-0.5605305044367594,-20.0,20.0,8.271565699087933,-20.0,20.0,-12.269757936811331,-20.0,20.0,8.3035573053694,-20.0,20.0,6.0066862659248095,0.5,15.0
50,unknown_model,19.665297167818284,condition_80cue,376,12,1.2269565579986845,-20.0,200.0,-1.060555819626497,-20.0,20.0,0.995290157523838,-20.0,20.0,-1.1677472319325826,-20.0,20.0,2.803242045919478,-20.0,20.0,-1.1922417412584538,-20.0,20.0,1.8293154085994034,-20.0,20.0,-1.1515484435583794,-20.0,20.0,6.22461178803774,-20.0,20.0,5.8873433553541545,-20.0,20.0,6.082263628070391,-20.0,20.0,2.892951813306107,0.5,15.0
51,unknown_model,543.5818987443675,condition_80cue,376,12,-0.09235262874753211,-20.0,200.0,0.02252690628485857,-20.0,20.0,0.19280238506550962,-20.0,20.0,0.3689469539717051,-20.0,20.0,0.2071637079834416,-20.0,20.0,0.016651462625966562,-20.0,20.0,9.204258624831466,-20.0,20.0,0.15300076134220034,-20.0,20.0,0.12976764456884668,-20.0,20.0,-0.43828999490623366,-20.0,20.0,-0.3788760652079481,-20.0,20.0,1.0315871915140429,0.5,15.0
52,unknown_model,485.0393651011404,condition_80cue,370,12,-0.6893166143426749,-20.0,200.0,0.266615353555929,-20.0,20.0,2.1950706760287004,-20.0,20.0,0.20336538892746764,-20.0,20.0,0.9438438974632228,-20.0,20.0,-0.10095787951283754,-20.0,20.0,0.38583796629395384,-20.0,20.0,-1.1298881089703319,-20.0,20.0,4.761558950470785,-20.0,20.0,-5.462253822983453,-20.0,20.0,5.016528875800318,-20.0,20.0,3.648221327023813,0.5,15.0
53,unknown_model,740.7128685596181,condition_80cue,374,12,1.578674915389288,-20.0,200.0,-1.4570168747702534,-20.0,20.0,2.0297983903089256,-20.0,20.0,-4.49396021739241,-20.0,20.0,4.601677027979305,-20.0,20.0,-1.3372099863945608,-20.0,20.0,0.10743076722170293,-20.0,20.0,-0.024912814130499582,-20.0,20.0,4.700103136648863,-20.0,20.0,-4.5429936273121205,-20.0,20.0,4.696839641100389,-20.0,20.0,5.330663485600326,0.5,15.0
54,unknown_model,138.83413155394788,condition_80cue,358,12,0.4721350934937037,-20.0,200.0,-0.14317551572021014,-20.0,20.0,3.164838194447365,-20.0,20.0,-3.9766110992800834,-20.0,20.0,3.376133334395366,-20.0,20.0,-0.8787321552152578,-20.0,20.0,2.99532210834131,-20.0,20.0,0.06658703435583219,-20.0,20.0,6.386760837643061,-20.0,20.0,-6.64237015643695,-20.0,20.0,7.155204185397255,-20.0,20.0,4.2150374740042285,0.5,15.0
