subID,block,trial,targetImg,targetIdx,cue_rgb,cue_string,congruent,respFrame,response,accuracy,RT,confResp,confRT,flickerDuration,noise1frames,signal1frames,noise2frames,coherence,catch_trial
 16, 1, 94, S1-15.jpg, 1, [181 10 240], purple, 1, 432, 2, 0, 7.4782, 2, 0.6301, 7.4790,81,40,87,0.7857,0
 16, 1, 95, S1-15.jpg, 1, [181 10 240], purple, 1, 446, 2, 0, 7.7179, 1, 0.0097, 7.7187,78,40,93,0.7857,0
 16, 1, 96, S1-15.jpg, 1, [10 240 94], green, 0, 348, 2, 0, 6.0602, 3, 1.1934, 6.0609,82,64,78,0.7857,0
 16, 1, 97, S1-15.jpg, 1, [181 10 240], purple, 1, 262, 1, 1, 4.5545, 3, 0.1972, 4.5553,107,24,92,0.7857,0
 16, 1, 98, S1-15.jpg, 1, [10 240 94], green, 0, 472, 2, 0, 8.1886, 2, 0.3052, 8.1895,99,39,83,0.7857,0
 16, 1, 99, S1-15.jpg, 1, [240 168 10], orange, NaN, 376, 1, 1, 6.5101, 2, 0.6811, 6.5108,78,25,103,0.7857,0
 16, 1, 100, S1-15.jpg, 1, [240 168 10], orange, NaN, 329, 2, 0, 5.7163, 3, 0.6590, 5.7171,81,32,100,0.7857,1
 16, 1, 101, S2-19.jpg, 2, [10 240 94], green, 1, 352, 1, 0, 6.0859, 2, 0.7193, 6.0872,85,32,78,0.7019,0
 16, 1, 102, S1-15.jpg, 1, [10 240 94], green, 0, 441, 2, 0, 7.6894, 2, 0.3708, 7.6902,108,68,80,0.7857,0
 16, 1, 103, S2-19.jpg, 2, [10 240 94], green, 1, 372, 1, 0, 6.4421, 2, 0.6286, 6.4430,80,39,127,0.7019,0
 16, 1, 104, S2-19.jpg, 2, [181 10 240], purple, 0, 436, 2, 1, 7.5691, 2, 0.6396, 7.5707,95,50,83,0.7019,0
 16, 1, 105, S2-19.jpg, 2, [10 240 94], green, 1, 448, 2, 1, 7.7905, 2, 0.6418, 7.7914,79,59,90,0.7019,0
 16, 1, 106, S1-15.jpg, 1, [10 240 94], green, 0, 222, 1, 1, 3.8552, 2, 0.2073, 3.8566,76,28,124,0.7857,0
 16, 1, 107, S1-15.jpg, 1, [181 10 240], purple, 1, 422, 1, 1, 7.3098, 1, 0.1573, 7.3107,87,52,115,0.7857,0
 16, 1, 108, S2-19.jpg, 2, [10 240 94], green, 1, 241, 1, 0, 4.1895, 2, 0.0484, 4.1903,110,34,77,0.7019,0
 16, 1, 109, S1-15.jpg, 1, [240 168 10], orange, NaN, 227, 1, 1, 3.9507, 3, 0.4095, 3.9515,85,53,79,0.7857,0
 16, 1, 110, S2-19.jpg, 2, [10 240 94], green, 1, 294, 1, 0, 5.1416, 1, 0.4372, 5.1425,142,40,94,0.7019,0
 16, 1, 111, S1-15.jpg, 1, [181 10 240], purple, 1, 375, 2, 0, 6.4760, 2, 0.6036, 6.4769,87,56,98,0.7857,0
 16, 1, 112, S2-19.jpg, 2, [10 240 94], green, 1, 420, 2, 1, 7.2755, 2, 0.6112, 7.2764,123,72,99,0.7019,0
 16, 1, 113, S2-19.jpg, 2, [10 240 94], green, 1, 345, 1, 0, 5.9704, 2, 0.8537, 5.9711,83,29,98,0.7019,0
 16, 1, 114, S1-15.jpg, 1, [240 168 10], orange, NaN, 380, 1, 1, 6.5895, 2, 0.5345, 6.5905,94,33,82,0.7857,0
 16, 1, 115, S2-19.jpg, 2, [181 10 240], purple, 0, 462, 2, 1, 7.9945, 2, 0.7007, 7.9955,92,65,76,0.7019,0
 16, 1, 116, S1-15.jpg, 1, [181 10 240], purple, 1, 428, 2, 0, 7.4464, 2, 0.4576, 7.4474,100,55,77,0.7857,0
 16, 1, 117, S1-15.jpg, 1, [181 10 240], purple, 1, 538, 2, 0, 9.3046, 2, 0.4626, 9.3055,89,29,87,0.7857,1
 16, 1, 118, S1-15.jpg, 1, [181 10 240], purple, 1, 283, 1, 1, 4.9192, 2, 1.8337, 4.9207,77,24,91,0.7857,0
 16, 1, 119, S1-15.jpg, 1, [181 10 240], purple, 1, 255, 1, 1, 4.4267, 3, 0.2173, 4.4276,140,42,88,0.7857,0
 16, 1, 120, S1-15.jpg, 1, [181 10 240], purple, 1, 300, 1, 1, 5.2472, 3, 0.2972, 5.2481,84,76,113,0.7857,0
 16, 1, 121, S1-15.jpg, 1, [181 10 240], purple, 1, 252, 1, 1, 4.3772, 2, 0.7024, 4.3781,81,24,91,0.7857,1
 16, 1, 122, S2-19.jpg, 2, [10 240 94], green, 1, 327, 2, 1, 5.7125, 3, 1.2305, 5.7132,100,43,100,0.7019,1
 16, 1, 123, S2-19.jpg, 2, [181 10 240], purple, 0, 432, 2, 1, 7.5177, 2, 0.5764, 7.5186,96,38,132,0.7019,0
 16, 1, 124, S2-19.jpg, 2, [10 240 94], green, 1, 331, 1, 0, 5.7365, 2, 0.4940, 5.7375,120,66,99,0.7019,0
 16, 1, 125, S1-15.jpg, 1, [181 10 240], purple, 1, 262, 1, 1, 4.5367, 3, 1.5488, 4.5374,119,29,81,0.7857,0
 16, 1, 126, S1-15.jpg, 1, [240 168 10], orange, NaN, 205, 1, 1, 3.6015, 4, 0.2310, 3.6022,82,25,143,0.7857,0
 16, 1, 127, S1-15.jpg, 1, [10 240 94], green, 0, 381, 1, 1, 6.6187, 2, 0.0956, 6.6197,76,30,78,0.7857,0
 16, 1, 128, S1-15.jpg, 1, [10 240 94], green, 0, 365, 2, 0, 6.3547, 2, 0.5272, 6.3556,79,32,87,0.7857,0
 16, 1, 129, S2-19.jpg, 2, [10 240 94], green, 1, 412, 1, 0, 7.1411, 2, 0.6155, 7.1420,96,73,88,0.7019,0
 16, 1, 130, S1-15.jpg, 1, [10 240 94], green, 0, 191, 2, 0, 3.3699, 2, 0.0002, 3.3706,81,35,120,0.7857,0
 16, 1, 131, S1-15.jpg, 1, [181 10 240], purple, 1, 250, 1, 1, 4.3603, 1, 0.9639, 4.3613,108,35,138,0.7857,0
 16, 1, 132, S2-19.jpg, 2, [181 10 240], purple, 0, 250, 1, 0, 4.3497, 3, 0.2320, 4.3506,88,67,95,0.7019,0
 16, 1, 133, S2-19.jpg, 2, [10 240 94], green, 1, 239, 1, 0, 4.1858, 3, 0.2096, 4.1870,77,36,110,0.7019,0
 16, 1, 134, S1-15.jpg, 1, [181 10 240], purple, 1, 290, 1, 1, 5.0392, 2, 0.1215, 5.0402,87,37,85,0.7857,0
 16, 1, 135, S1-15.jpg, 1, [240 168 10], orange, NaN, 342, 1, 1, 5.9621, 2, 0.5204, 5.9636,109,40,101,0.7857,0
 16, 1, 136, S1-15.jpg, 1, [181 10 240], purple, 1, 309, 2, 0, 5.3761, 1, 0.7673, 5.3771,76,28,82,0.7857,0
 16, 1, 137, S2-19.jpg, 2, [240 168 10], orange, NaN, 246, 1, 0, 4.3096, 3, 0.4375, 4.3104,77,57,114,0.7019,1
 16, 1, 138, S2-19.jpg, 2, [10 240 94], green, 1, 433, 1, 0, 7.4912, 1, 0.4509, 7.4922,78,37,80,0.7019,0
 16, 1, 139, S1-15.jpg, 1, [181 10 240], purple, 1, 467, 2, 0, 8.1303, 2, 0.8625, 8.1312,82,80,92,0.7857,0
 16, 1, 140, S1-15.jpg, 1, [181 10 240], purple, 1, NaN, 1, 1, 9.6827, 1, 0.4900, 9.3552,129,56,83,0.7857,0
 16, 1, 141, S2-19.jpg, 2, [181 10 240], purple, 0, 260, 2, 1, 4.5072, 2, 0.0005, 4.5081,93,42,139,0.7019,0
 16, 1, 142, S2-19.jpg, 2, [10 240 94], green, 1, 237, 1, 0, 4.1573, 2, 0.9409, 4.1581,77,25,84,0.7019,0
 16, 1, 143, S2-19.jpg, 2, [10 240 94], green, 1, 303, 2, 1, 5.2410, 2, 0.2002, 5.2419,86,31,77,0.7019,0
 16, 1, 144, S1-15.jpg, 1, [240 168 10], orange, NaN, 366, 2, 0, 6.3299, 1, 0.8925, 6.3307,75,30,96,0.7857,0
 16, 1, 145, S1-15.jpg, 1, [240 168 10], orange, NaN, 333, 2, 0, 5.7714, 2, 1.0039, 5.7721,81,143,141,0.7857,0
 16, 1, 146, S1-15.jpg, 1, [181 10 240], purple, 1, 306, 2, 0, 5.3080, 1, 0.1614, 5.3095,112,58,95,0.7857,1
 16, 1, 147, S2-19.jpg, 2, [181 10 240], purple, 0, 353, 1, 0, 6.1347, 3, 1.1598, 6.1362,75,25,135,0.7019,0
 16, 1, 148, S2-19.jpg, 2, [10 240 94], green, 1, 286, 1, 0, 4.9425, 2, 0.1030, 4.9434,87,28,78,0.7019,0
 16, 1, 149, S2-19.jpg, 2, [240 168 10], orange, NaN, 328, 1, 0, 5.6932, 1, 0.0975, 5.6942,93,29,101,0.7019,0
 16, 1, 150, S2-19.jpg, 2, [10 240 94], green, 1, 225, 1, 0, 3.9384, 1, 0.2007, 3.9393,77,51,81,0.7019,0
 16, 1, 151, S2-19.jpg, 2, [10 240 94], green, 1, 196, 1, 0, 3.4495, 2, 0.3279, 3.4504,77,26,84,0.7019,0
 16, 1, 152, S1-15.jpg, 1, [181 10 240], purple, 1, 261, 1, 1, 4.5355, 2, 0.3351, 4.5365,117,25,97,0.7857,1
 16, 1, 153, S1-15.jpg, 1, [181 10 240], purple, 1, 349, 1, 1, 6.0614, 1, 0.0721, 6.0622,76,50,86,0.7857,0
 16, 1, 154, S2-19.jpg, 2, [10 240 94], green, 1, 382, 2, 1, 6.5933, 2, 0.9755, 6.5942,77,68,106,0.7019,0
 16, 1, 155, S2-19.jpg, 2, [240 168 10], orange, NaN, 203, 1, 0, 3.6355, 4, 0.2159, 3.6362,97,42,103,0.7019,0
 16, 1, 156, S1-15.jpg, 1, [181 10 240], purple, 1, 315, 1, 1, 5.4806, 2, 0.3740, 5.4817,104,67,77,0.7857,0
 16, 1, 157, S1-15.jpg, 1, [181 10 240], purple, 1, 369, 2, 0, 6.4066, 2, 0.6094, 6.4074,78,43,79,0.7857,0
 16, 1, 158, S1-15.jpg, 1, [181 10 240], purple, 1, 331, 2, 0, 5.7422, 2, 0.6624, 5.7432,98,33,111,0.7857,0
 16, 1, 159, S1-15.jpg, 1, [181 10 240], purple, 1, 312, 2, 0, 5.4021, 2, 0.5973, 5.4029,88,29,78,0.7857,0
 16, 1, 160, S1-15.jpg, 1, [181 10 240], purple, 1, 368, 2, 0, 6.3618, 2, 0.5938, 6.3626,90,55,107,0.7857,0
 16, 1, 161, S1-15.jpg, 1, [181 10 240], purple, 1, 431, 2, 0, 7.4524, 2, 0.6342, 7.4531,104,26,75,0.7857,0
 16, 1, 162, S1-15.jpg, 1, [181 10 240], purple, 1, 329, 2, 0, 5.6958, 2, 0.6458, 5.6966,82,69,100,0.7857,0
 16, 1, 163, S1-15.jpg, 1, [181 10 240], purple, 1, 359, 2, 0, 6.2187, 2, 0.6055, 6.2194,75,60,99,0.7857,0
 16, 1, 164, S2-19.jpg, 2, [10 240 94], green, 1, 382, 2, 1, 6.6590, 2, 0.7017, 6.6599,79,32,79,0.7019,0
 16, 1, 165, S1-15.jpg, 1, [181 10 240], purple, 1, 392, 2, 0, 6.7967, 3, 0.8762, 6.7976,133,34,105,0.7857,0
 16, 1, 166, S2-19.jpg, 2, [10 240 94], green, 1, 378, 2, 1, 6.5350, 3, 0.9482, 6.5358,88,23,89,0.7019,0
 16, 1, 167, S1-15.jpg, 1, [181 10 240], purple, 1, 329, 2, 0, 5.7139, 3, 0.8522, 5.7148,79,86,107,0.7857,0
 16, 1, 168, S2-19.jpg, 2, [10 240 94], green, 1, 376, 2, 1, 6.5608, 2, 0.8054, 6.5616,77,29,81,0.7019,0
 16, 1, 169, S2-19.jpg, 2, [240 168 10], orange, NaN, 345, 2, 1, 5.9903, 2, 0.6481, 5.9913,78,78,81,0.7019,0
 16, 1, 170, S2-19.jpg, 2, [240 168 10], orange, NaN, 390, 1, 0, 6.7649, 2, 0.5384, 6.7657,117,48,75,0.7019,0
 16, 1, 171, S1-15.jpg, 1, [181 10 240], purple, 1, 423, 2, 0, 7.3244, 2, 0.8582, 7.3252,76,54,126,0.7857,0
 16, 1, 172, S2-19.jpg, 2, [240 168 10], orange, NaN, 334, 2, 1, 5.7877, 2, 0.6252, 5.7886,98,34,90,0.7019,0
 16, 1, 173, S2-19.jpg, 2, [181 10 240], purple, 0, 410, 1, 0, 7.1047, 2, 0.6527, 7.1055,137,44,103,0.7019,0
 16, 1, 174, S2-19.jpg, 2, [10 240 94], green, 1, 364, 2, 1, 6.2811, 3, 0.9052, 6.2819,97,34,94,0.7019,0
 16, 1, 175, S2-19.jpg, 2, [10 240 94], green, 1, 377, 1, 0, 6.5402, 2, 0.6243, 6.5410,86,27,75,0.7019,0
 16, 1, 176, S1-15.jpg, 1, [181 10 240], purple, 1, 375, 2, 0, 6.5224, 3, 0.7889, 6.5233,82,26,117,0.7857,0
 16, 1, 177, S2-19.jpg, 2, [240 168 10], orange, NaN, 346, 2, 1, 5.9880, 2, 0.6004, 5.9894,87,38,84,0.7019,0
 16, 1, 178, S2-19.jpg, 2, [240 168 10], orange, NaN, 368, 2, 1, 6.3937, 3, 0.6507, 6.3946,79,48,101,0.7019,0
 16, 1, 179, S2-19.jpg, 2, [240 168 10], orange, NaN, 474, 2, 1, 8.2308, 2, 0.0005, 8.2318,90,31,80,0.7019,0
 16, 1, 180, S2-19.jpg, 2, [10 240 94], green, 1, 232, 1, 0, 4.0628, 3, 0.4566, 4.0637,134,37,102,0.7019,0
 16, 1, 181, S1-15.jpg, 1, [181 10 240], purple, 1, 349, 2, 0, 6.0729, 3, 0.5896, 6.0739,84,26,107,0.7857,0
 16, 1, 182, S2-19.jpg, 2, [181 10 240], purple, 0, 227, 1, 0, 3.9781, 3, 0.1836, 3.9790,96,37,129,0.7019,0
 16, 1, 183, S2-19.jpg, 2, [240 168 10], orange, NaN, 345, 2, 1, 5.9966, 2, 0.6903, 5.9974,80,36,79,0.7019,0
