subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,noise2_cong_shortS1_fitted,noise2_cong_shortS1_min,noise2_cong_shortS1_max,noise2_incong_shortS1_fitted,noise2_incong_shortS1_min,noise2_incong_shortS1_max,noise2_neut_shortS1_fitted,noise2_neut_shortS1_min,noise2_neut_shortS1_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
53,unknown_model,892.5088027490804,condition_80cue,374,15,2.429284624511365,0.0,10.0,0.06571586446539102,0.0,10.0,1.9402877894152775,0.0,10.0,0.0,0.0,10.0,4.353422132336678,0.0,10.0,0.0,0.0,10.0,0.21651143332381492,0.0,10.0,0.5356087863756824,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.325020891698014,0.0,10.0,5.1969318961525985,0.0,10.0,4.729316097135579,0.0,10.0,6.447680338138109,0.5,12.0
54,unknown_model,445.52140842223656,condition_80cue,358,15,2.179483430287867,0.0,10.0,1.0065718568160558,0.0,10.0,2.9687608622943262,0.0,10.0,0.0,0.0,10.0,3.8280503377558692,0.0,10.0,0.0,0.0,10.0,7.503855439379971,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,2.764233984470988,0.0,10.0,0.44971415051151936,0.0,10.0,6.208042148762482,0.0,10.0,10.0,0.0,10.0,7.4255121924586565,0.0,10.0,5.470199911268547,0.5,12.0
55,unknown_model,1308.3619562081644,condition_65cue,376,15,4.1325781276678395,0.0,10.0,4.471151232104177,0.0,10.0,0.6355033797456087,0.0,10.0,0.0,0.0,10.0,0.8555995431151299,0.0,10.0,1.084768274953102,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.6160706019622002,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.35965543839911,0.0,10.0,5.909634096953242,0.0,10.0,5.27124267606665,0.0,10.0,6.178321811100571,0.5,12.0
56,unknown_model,636.3226116306657,condition_65cue,376,15,0.0,0.0,10.0,0.09834640379004346,0.0,10.0,0.25007443204980195,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.489273288881486,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0292943604066084,0.0,10.0,0.1416418722550695,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.1549118203664692,0.5,12.0
57,unknown_model,643.4061996116197,condition_65cue,377,15,0.0959526424227631,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.14695632045015253,0.0,10.0,0.0,0.0,10.0,0.5087557795626332,0.0,10.0,1.3443891442392362,0.0,10.0,0.0,0.0,10.0,0.05290261360144281,0.0,10.0,0.26960214029709445,0.0,10.0,0.0,0.0,10.0,1.2872031357475782,0.0,10.0,0.7575222082745103,0.0,10.0,0.0,0.0,10.0,1.2712104353543658,0.5,12.0
58,unknown_model,820.9427231968701,condition_65cue,367,15,0.007755595044012263,0.0,10.0,0.1351959741369195,0.0,10.0,0.08168650959367009,0.0,10.0,0.0,0.0,10.0,0.08378293503663718,0.0,10.0,0.0,0.0,10.0,0.14273611702051295,0.0,10.0,0.015944732705708103,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.005003065363342865,0.0,10.0,0.13132208320303973,0.0,10.0,0.23750382468675,0.0,10.0,1.6003239674260392,0.5,12.0
59,unknown_model,767.5293046434813,condition_65cue,376,15,1.9169612872737312,0.0,10.0,0.3108067490011675,0.0,10.0,3.9192026481631155,0.0,10.0,1.2885875968854892,0.0,10.0,5.421334585789765,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.9031254635855928,0.0,10.0,0.8292778285415995,0.0,10.0,0.18627645130612905,0.0,10.0,0.0,0.0,10.0,7.907935689416703,0.0,10.0,9.079532121763268,0.0,10.0,9.338087496856186,0.0,10.0,5.371246260787631,0.5,12.0
60,unknown_model,637.7531058972766,condition_65cue,374,15,0.13239470394504757,0.0,10.0,0.12173791406837724,0.0,10.0,0.08543828486731202,0.0,10.0,0.0853034173425292,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.647503492019346,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.1527089490574545,0.0,10.0,0.5170084375588588,0.0,10.0,0.4076350734441811,0.0,10.0,1.2716132131334499,0.5,12.0
61,unknown_model,1053.315298709246,condition_65cue,373,15,2.016141442802432,0.0,10.0,1.072980762785254,0.0,10.0,0.5186333094516128,0.0,10.0,0.0,0.0,10.0,1.0047105830786873,0.0,10.0,0.6091857600349173,0.0,10.0,1.3231191710758603,0.0,10.0,1.9654554312497194,0.0,10.0,0.24009484525153843,0.0,10.0,0.7484001943849404,0.0,10.0,0.6324422636830264,0.0,10.0,4.964942872091447,0.0,10.0,5.1334809783251485,0.0,10.0,5.653727157400227,0.0,10.0,4.562572872562558,0.5,12.0
62,unknown_model,759.5202279540947,condition_65cue,378,15,0.44935308193034057,0.0,10.0,0.0,0.0,10.0,1.0016290091153117,0.0,10.0,0.0,0.0,10.0,1.469225627788043,0.0,10.0,0.03300772719254848,0.0,10.0,0.0,0.0,10.0,8.814051359645097,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.160856238682754,0.0,10.0,5.263136323522739,0.0,10.0,4.717675672678689,0.0,10.0,3.0525207194968056,0.5,12.0
